,암호화카드번호,버스노선ID1,버스노선ID2,버스노선ID3,버스노선ID4,버스노선ID5,총통행거리,총탑승시간,총소요시간,승차역ID1,승차역ID2,승차역ID3,승차역ID4,승차역ID5,하차역ID1,하차역ID2,하차역ID3,하차역ID4,하차역ID5,최초승차일시,최종하차일시,최초승차역ID,최종하차역ID,총이용금액,수집건수,총이용객수,사용자구분
4,900508818160,7,202,5-1,,,10930,24,24,4108196.0,4113291.0,4170271.0,,,,,,,,20180701204621,20180701213623 ,4108196.0,4199077.0,1350,3,1,1
5,900351733805,13-5,400-4,22,,,16150,49,49,4108106.0,4170093.0,4102827.0,,,,,,,,20180701145032,20180701161318 ,4108106.0,4102942.0,1450,3,1,1
6,900351733805,11,13-5,13-4,,,11350,24,24,4105311.0,4116985.0,4114206.0,,,,,,,,20180701212521,20180701221059 ,4105311.0,4117053.0,1350,3,1,1
8,900028085150,62-1,88-1,11-1,,,7140,26,26,4116853.0,4116930.0,4116900.0,,,,,,,,20180701182945,20180701191500 ,4116853.0,4170093.0,870,3,1,4
9,900028088225,720-2,32,30-1,,,13690,46,46,4170102.0,4170093.0,4102827.0,,,,,,,,20180701141014,20180701150226 ,4170102.0,4130061.0,1350,3,1,1
11,900497300024,11,720-2,3,,,11070,35,35,4105379.0,4116760.0,4116833.0,,,,,,,,20180701080857,20180701085254 ,4105379.0,4116875.0,1350,3,1,1
13,900029953051,98,5,301,,,6930,25,25,4116719.0,4108183.0,4122214.0,,,,,,,,20180701192632,20180701195748 ,4116719.0,4108093.0,1250,3,1,1
16,900029249197,116-1,116-3,50,,,28670,102,102,4176773.0,4110078.0,4100611.0,,,,,,,,20180701110122,20180701125354 ,4176773.0,4123044.0,1650,3,1,1
18,900469599427,16-2,92-1,13-1,,,10570,29,29,4102825.0,4107928.0,4108053.0,,,,,,,,20180701063925,20180701071516 ,4102825.0,4160314.0,1350,3,1,1
21,900030389260,310,83-1,27,,,13860,45,45,4122214.0,4117024.0,4170112.0,,,,,,,,20180701215057,20180701231539 ,4122214.0,4150199.0,1350,3,1,1
22,900030392244,400-5,310,23,,,23740,58,58,4130185.0,4170415.0,4105270.0,,,,,,,,20180701173756,20180701185926 ,4130185.0,4120058.0,1550,3,1,1
24,900030396186,1-1,2-2,116-1,,,25380,80,80,4110713.0,4106950.0,4100022.0,,,,,,,,20180701103052,20180701121153 ,4110713.0,4130405.0,1650,3,1,1
26,900026319651,20-1,900,15,,,13010,39,39,4107951.0,4107942.0,4108044.0,,,,,,,,20180701084310,20180701093406 ,4107951.0,4108028.0,1350,3,1,1
27,900472422119,3330,720-2,51,,,25780,57,57,4108192.0,4100577.0,4110254.0,,,,,,,,20180701185456,20180701195751 ,4108192.0,4110286.0,2400,3,1,1
33,900496351243,35,34,701,,,26540,57,57,4170418.0,4117322.0,4100048.0,,,,,,,,20180701111214,20180701122149 ,4170418.0,4197553.0,1650,3,1,1
34,900496351243,708,34,38,,,25940,57,57,4170974.0,4151651.0,4117321.0,,,,,,,,20180701205357,20180701221434 ,4170974.0,4117343.0,1650,3,1,1
35,900469165316,13-1,202,720-2,,,12900,39,39,4108087.0,4108051.0,4170113.0,,,,,,,,20180701101431,20180701110143 ,4108087.0,4111742.0,1350,3,1,1
36,900469181803,2,301,202,,,16650,44,44,4100032.0,4100024.0,4108092.0,,,,,,,,20180701170233,20180701180535 ,4100032.0,4117259.0,1450,3,1,1
39,100040715281,777,310,900,,,4170,10,10,4100128.0,4100136.0,4100128.0,,,,,,,,20180701223256,20180701230233 ,4100128.0,4100135.0,1250,3,1,1
42,900150310161,388,900,13-1,,,35970,94,94,4108240.0,4195607.0,4122214.0,,,,,,,,20180701083940,20180701101939 ,4108240.0,4117286.0,1850,3,1,1
44,100038381052,34-1,38,35,,,15250,34,34,4131034.0,4117321.0,4199620.0,,,,,,,,20180701165429,20180701180149 ,4131034.0,4199624.0,1450,3,1,1
48,900525973496,8800,62-1,720-1,,,49480,72,72,4135007.0,4170112.0,4108044.0,,,,,,,,20180701155004,20180701170947 ,4135007.0,4108040.0,2800,3,1,1
51,900520631199,62-1,720-1,220,,,27980,95,95,4116853.0,4116895.0,4100559.0,,,,,,,,20180701144532,20180701163002 ,4116853.0,4110116.0,1650,3,1,1
54,900518139933,9-1,92,81,,,2540,9,9,4116853.0,4108054.0,4117045.0,,,,,,,,20180701192617,20180701195130 ,4116853.0,4100086.0,1250,3,1,1
57,900477140514,8,310,13-5,,,12290,44,44,4196917.0,4106798.0,4108108.0,,,,,,,,20180701100639,20180701105105 ,4196917.0,4116962.0,1350,3,1,1
59,900477140514,13-5,5-1,116-2,,,11960,35,35,4116963.0,4108037.0,4130126.0,,,,,,,,20180701141838,20180701152126 ,4116963.0,4196857.0,1350,3,1,1
60,900195125764,13-5,11,720-2,,,5750,16,16,4116965.0,4105382.0,4107930.0,,,,,,,,20180701055924,20180701062106 ,4116965.0,4151704.0,1250,3,1,1
61,900519139493,62-1,80,92,,,5630,20,20,4170101.0,4116897.0,4116918.0,,,,,,,,20180701193552,20180701200759 ,4170101.0,4117023.0,1250,3,1,1
65,900389785208,27,301,35,,,22140,48,48,4100146.0,4108183.0,4116982.0,,,,,,,,20180701075957,20180701085908 ,4100146.0,4199626.0,1550,3,1,1
67,100073488850,112,25,46,,,13690,32,32,4116719.0,4108183.0,4130134.0,,,,,,,,20180701102821,20180701111806 ,4116719.0,4130138.0,1350,3,1,1
69,900086905878,20,720-1,66-4,,,6500,17,17,4179319.0,4116898.0,4116894.0,,,,,,,,20180701061059,20180701064257 ,4179319.0,4116921.0,1250,3,1,1
70,900086916774,13,46,400-4,,,9190,31,31,4107953.0,4107928.0,4108071.0,,,,,,,,20180701141513,20180701150532 ,4107953.0,4116828.0,1250,3,1,1
71,900087504614,13,98,92,,,8870,30,30,4107953.0,4108130.0,4108150.0,,,,,,,,20180701204753,20180701212735 ,4107953.0,4108077.0,1250,3,1,1
78,900018248056,400-2,999,92-1,,,26720,59,59,4102885.0,4102829.0,4107928.0,,,,,,,,20180701202849,20180701213640 ,4102885.0,4108051.0,1650,3,1,1
80,900084398065,22,8-2,300,,,13250,24,24,4114484.0,4103807.0,4100154.0,,,,,,,,20180701061651,20180701064803 ,4114484.0,4100105.0,2050,3,1,1
81,900523044553,20,27,5,,,8390,26,26,4179319.0,4116922.0,4108130.0,,,,,,,,20180701213313,20180701225639 ,4179319.0,4108133.0,1250,3,1,1
83,100035577282,20-1,66,25,,,7830,31,31,4179366.0,4108069.0,4107935.0,,,,,,,,20180701142940,20180701154532 ,4179366.0,4108121.0,1250,3,1,1
89,900017322548,1004,51,88-1,,,38720,80,80,4102868.0,4170093.0,4117016.0,,,,,,,,20180701085615,20180701105847 ,4102868.0,4116760.0,2250,3,1,1
90,900499649073,2-1,92,51,,,4770,19,19,4116785.0,4116760.0,4117044.0,,,,,,,,20180701153209,20180701155554 ,4116785.0,4108064.0,1250,3,1,1
94,900352157892,511,909,35,,,26170,62,62,4105280.0,4105306.0,4116982.0,,,,,,,,20180701133523,20180701145046 ,4105280.0,4117329.0,2050,3,1,1
97,900521161607,22,707,720-2,,,22680,56,56,4178230.0,4105306.0,4116760.0,,,,,,,,20180701072023,20180701082519 ,4178230.0,4112026.0,2050,3,1,1
98,900514757114,720-2,400,88,,,3920,18,18,4116956.0,4107928.0,4108071.0,,,,,,,,20180701115243,20180701121548 ,4116956.0,4108130.0,1250,3,1,1
101,900494029206,13-1,9-2,5,,,8180,21,21,4117050.0,4105382.0,4122215.0,,,,,,,,20180701103105,20180701105656 ,4117050.0,4100118.0,870,3,1,4
102,900494029349,999,7-2,25,,,10420,39,39,4176348.0,4116708.0,4107937.0,,,,,,,,20180701094258,20180701103738 ,4176348.0,4100147.0,1350,3,1,1
106,900025630323,9-3,7770,900,,,31360,58,58,4103271.0,4103279.0,4196993.0,,,,,,,,20180701101716,20180701112620 ,4103271.0,4108102.0,2500,3,1,1
107,900025630323,301,7770,9,,,31550,64,64,4108100.0,4195718.0,4103285.0,,,,,,,,20180701123453,20180701140637 ,4108100.0,4103292.0,2500,3,1,1
108,900497223356,98,M4108,9710,,,57670,78,78,4199835.0,4197467.0,4111614.0,,,,,,,,20180701192124,20180701204305 ,4199835.0,4104644.0,3000,3,1,1
109,900019080131,777,92,81,,,3900,16,16,4170096.0,4116760.0,4117044.0,,,,,,,,20180701111354,20180701114113 ,4170096.0,4117044.0,1250,3,1,1
111,900495698935,92-1,38,38-2,,,30320,60,60,4108052.0,4116982.0,4170731.0,,,,,,,,20180701220223,20180701232104 ,4108052.0,4130035.0,1750,3,1,1
112,900029598804,34,34-1,25,,,10130,27,27,4117322.0,4117231.0,4117364.0,,,,,,,,20180701211553,20180701215009 ,4117322.0,4117366.0,950,3,1,4
113,100033137635,4-1,13-4,720-2,,,6710,26,26,4116737.0,4108070.0,4170093.0,,,,,,,,20180701155557,20180701163941 ,4116737.0,4117067.0,1250,3,1,1
114,100033141851,5,61,20,,,9000,32,32,4108134.0,4108183.0,4116837.0,,,,,,,,20180701083921,20180701091825 ,4108134.0,4116942.0,1250,3,1,1
117,900522153806,708,92-1,900,,,10580,33,33,4170355.0,4170570.0,4106798.0,,,,,,,,20180701210610,20180701214855 ,4170355.0,4108112.0,1350,3,1,1
120,900522962421,8155,30-1,310,,,33210,62,62,4170775.0,4117322.0,4122214.0,,,,,,,,20180701080636,20180701091913 ,4170775.0,4197261.0,2500,3,1,1
124,900511839706,10-5,37,11-1,,,6750,29,29,4116893.0,4108070.0,4107928.0,,,,,,,,20180701132443,20180701142442 ,4116893.0,4116837.0,1250,3,1,1
127,900472854404,62,707,900,,,35730,86,86,4102177.0,4116097.0,4122214.0,,,,,,,,20180701154706,20180701173301 ,4102177.0,4108213.0,2250,3,1,1
128,900514710544,1,64,13,,,12770,41,41,4170343.0,4108108.0,4107936.0,,,,,,,,20180701080931,20180701090825 ,4170343.0,4160246.0,1350,3,1,1
130,900521337403,62-1,900,700-2,,,20670,64,64,4117269.0,4100127.0,4107942.0,,,,,,,,20180701215133,20180701232146 ,4117269.0,4116677.0,1550,3,1,1
131,900514713748,8,7,8,,,9630,31,31,4114328.0,4100042.0,4130402.0,,,,,,,,20180701121330,20180701132405 ,4114328.0,4114329.0,1250,3,1,1
132,900514714364,708,15-1,13-5,,,16960,34,34,4114075.0,4199455.0,4108041.0,,,,,,,,20180701071832,20180701081454 ,4114075.0,4108103.0,1450,3,1,1
136,900015405737,92-1,13-5,112,,,7510,26,26,4199455.0,4108036.0,4122174.0,,,,,,,,20180701210417,20180701220336 ,4199455.0,4122166.0,1250,3,1,1
141,900363888058,65,112,2-1,,,6570,22,22,4108143.0,4108183.0,4116759.0,,,,,,,,20180701163112,20180701170206 ,4108143.0,4116753.0,1250,3,1,1
143,900473376586,5,900,99-2,,,14450,41,41,4101430.0,4100057.0,4179371.0,,,,,,,,20180701180003,20180701184311 ,4101430.0,4116729.0,2700,3,2,1
147,900480781740,301,900,82-1,,,10510,23,23,4100051.0,4122214.0,4100083.0,,,,,,,,20180701181948,20180701190130 ,4100051.0,4100089.0,950,3,1,4
149,900511739721,92-1,900,80,,,8330,31,31,4199654.0,4106798.0,4122174.0,,,,,,,,20180701130846,20180701135442 ,4199654.0,4116992.0,1250,3,1,1
150,900168187974,34,92-1,73-1,,,9130,35,35,4116875.0,4108044.0,4130121.0,,,,,,,,20180701165818,20180701174114 ,4116875.0,4130114.0,2500,3,2,1
152,900484320039,81,62-1,92-1,,,11410,41,41,4116900.0,4116897.0,4108046.0,,,,,,,,20180701114716,20180701123908 ,4116900.0,4130053.0,1350,3,1,1
154,900480742404,112,88-1,35,,,9980,28,28,4170101.0,4108110.0,4116982.0,,,,,,,,20180701204211,20180701215318 ,4170101.0,4102828.0,1250,3,1,1
157,900501877374,7-1,98,7-1,,,16820,55,55,4108098.0,4108044.0,4199361.0,,,,,,,,20180701212313,20180701224426 ,4108098.0,4108100.0,1450,3,1,1
161,900523199857,7-1,5,13-4,,,9920,30,30,4122214.0,4108110.0,4170093.0,,,,,,,,20180701144934,20180701160042 ,4122214.0,4199723.0,1250,3,1,1
162,900175936889,708,92-1,62-1,,,16830,62,62,4115603.0,4170570.0,4108036.0,,,,,,,,20180701110051,20180701121225 ,4115603.0,4108071.0,1450,3,1,1
166,900474983462,52,909,5,,,18560,45,45,4105280.0,4105306.0,4122215.0,,,,,,,,20180701224334,20180702001401 ,4105280.0,4108131.0,2050,3,1,1
169,900105231922,30-1,400,82-2,,,13450,45,45,4119417.0,4102829.0,4107928.0,,,,,,,,20180701083032,20180701092600 ,4119417.0,4116756.0,1350,3,1,1
170,900105231922,92-1,22,30-1,,,17180,53,53,4108054.0,4107929.0,4117183.0,,,,,,,,20180701181411,20180701191123 ,4108054.0,4119429.0,1450,3,1,1
172,900105240145,92,7001,720-1,,,10580,35,35,4117057.0,4117024.0,4116828.0,,,,,,,,20180701121113,20180701130521 ,4117057.0,4150136.0,2400,3,1,1
174,900159069452,9-2,202,13-1,,,6370,19,19,4117202.0,4116922.0,4108054.0,,,,,,,,20180701094707,20180701101654 ,4117202.0,4117287.0,1250,3,1,1
175,900472510713,13,92-1,2-1,,,11230,48,48,4117280.0,4116760.0,4116851.0,,,,,,,,20180701194642,20180701204604 ,4117280.0,4116869.0,1350,3,1,1
179,900478647529,92-1,64,310,,,8960,34,34,4160306.0,4116816.0,4108130.0,,,,,,,,20180701181555,20180701192626 ,4160306.0,4151749.0,1250,3,1,1
180,100394162708,3,10,88,,,5730,19,19,4100138.0,4108070.0,4122215.0,,,,,,,,20180701164858,20180701171811 ,4100138.0,4117061.0,1250,3,1,1
181,100394179111,62-1,707,52,,,25920,64,64,4160281.0,4105375.0,4160397.0,,,,,,,,20180701063318,20180701074408 ,4160281.0,4111951.0,2050,3,1,1
182,900507527400,10,11,720-2,,,14000,44,44,4111667.0,4107931.0,4107928.0,,,,,,,,20180701084006,20180701100050 ,4111667.0,4107930.0,1350,3,1,1
183,900507528272,73,34-1,38,,,24300,60,60,4108014.0,4100049.0,4117321.0,,,,,,,,20180701202026,20180701213823 ,4108014.0,4198442.0,1550,3,1,1
185,900507517984,720-1,2-1,3,,,14440,38,38,4150144.0,4116875.0,4116883.0,,,,,,,,20180701122740,20180701133649 ,4150144.0,4108229.0,1350,3,1,1
189,100471846143,13-1,13,88,,,8240,20,20,4114206.0,4116963.0,4122215.0,,,,,,,,20180701214644,20180701221814 ,4114206.0,4117061.0,870,3,1,4
190,100471846950,62,707,720-2,,,31950,69,69,4170047.0,4116097.0,4170093.0,,,,,,,,20180701201047,20180701214225 ,4170047.0,4117067.0,2150,3,1,1
193,100471849844,92-1,37,92,,,6700,22,22,4108164.0,4108124.0,4108123.0,,,,,,,,20180701201157,20180701220221 ,4108164.0,4116957.0,870,3,1,4
197,900523688349,701,73,92-1,,,6650,20,20,4130062.0,4121008.0,4100050.0,,,,,,,,20180701131500,20180701141418 ,4130062.0,4197591.0,1250,3,1,1
200,900518147688,30-1,38,38-1,,,17280,41,41,4119428.0,4130155.0,4130349.0,,,,,,,,20180701090505,20180701100608 ,4119428.0,4120518.0,1450,3,1,1
201,900490876445,900,38,8155,,,36830,63,63,4108110.0,4116982.0,4130352.0,,,,,,,,20180701212832,20180701230335 ,4108110.0,8005420.0,2600,3,1,1
202,900506135596,81,66,34-1,,,17700,44,44,4196862.0,4111799.0,4116875.0,,,,,,,,20180701082247,20180701092019 ,4196862.0,4116943.0,1450,3,1,1
203,900506135596,3,66,8,,,19810,51,51,4116882.0,4116921.0,4111798.0,,,,,,,,20180701145839,20180701163016 ,4116882.0,4196876.0,1450,3,1,1
212,100072247249,66,66-4,3,,,19250,49,49,4111797.0,4111660.0,4179321.0,,,,,,,,20180701163708,20180701175132 ,4111797.0,4116894.0,1450,3,1,1
214,900395667754,13-4,310,64,,,17940,53,53,4199315.0,4122214.0,4108111.0,,,,,,,,20180701220059,20180702001115 ,4199315.0,4130090.0,1450,3,1,1
221,900522283145,99-2,777,301,,,12980,30,30,4116732.0,4100126.0,4100056.0,,,,,,,,20180701200533,20180701204928 ,4116732.0,4103571.0,1350,3,1,1
222,900522288174,60,301,98,,,16860,54,54,4103525.0,4100065.0,4108159.0,,,,,,,,20180701190426,20180701202211 ,4103525.0,4107940.0,1450,3,1,1
224,900391260399,301,20,720-2,,,22000,66,66,4100013.0,4100048.0,4116836.0,,,,,,,,20180701145357,20180701164937 ,4100013.0,4116798.0,1550,3,1,1
227,900029288601,92,92-1,82-1,,,4830,20,20,4117022.0,4108054.0,4117045.0,,,,,,,,20180701151714,20180701160732 ,4117022.0,4100084.0,870,3,1,4
229,900029304702,61,81,83-1,,,5030,19,19,4116848.0,4108064.0,4116922.0,,,,,,,,20180701153150,20180701162117 ,4116848.0,4108059.0,1250,3,1,1
230,900029284922,700-2,38,11,,,26180,62,62,4170096.0,4116982.0,4170637.0,,,,,,,,20180701184552,20180701201201 ,4170096.0,4170596.0,1650,3,1,1
232,900024534205,92-1,82-1,65,,,6970,22,22,4108054.0,4117044.0,4116836.0,,,,,,,,20180701150804,20180701155517 ,4108054.0,4151704.0,1250,3,1,1
233,100073592509,300,220,720-2,,,27260,92,92,4135095.0,4100610.0,4110130.0,,,,,,,,20180701085720,20180701104654 ,4135095.0,4170093.0,1650,3,1,1
234,100073592509,720-2,65,35,,,32980,97,97,4195700.0,4170103.0,4107943.0,,,,,,,,20180701135651,20180701162714 ,4195700.0,4170841.0,1750,3,1,1
235,900363921104,708,301,2,,,11230,32,32,4170970.0,4100049.0,4160382.0,,,,,,,,20180701114231,20180701123702 ,4170970.0,4100021.0,1350,3,1,1
236,900490619154,30,777,22,,,12140,30,30,4108187.0,4151749.0,4100056.0,,,,,,,,20180701092035,20180701095548 ,4108187.0,4103614.0,1350,3,1,1
237,100033589050,64,7-1,909,,,27730,60,60,4197554.0,4108110.0,4122215.0,,,,,,,,20180701045320,20180701060633 ,4197554.0,4105305.0,2050,3,1,1
238,100033607049,13,10,720-1,,,5200,23,23,4107928.0,4116837.0,4116899.0,,,,,,,,20180701163109,20180701171459 ,4107928.0,4116800.0,1250,3,1,1
239,900105805059,9-1,13-1,10-5,,,7470,21,21,4116753.0,4198877.0,4116872.0,,,,,,,,20180701115328,20180701121915 ,4116753.0,4111869.0,1250,3,1,1
242,900492752997,720-2,909,30-2,,,43360,127,127,4116898.0,4122215.0,4195009.0,,,,,,,,20180701164355,20180701185736 ,4116898.0,4101686.0,2350,3,1,1
243,900483351296,13,37,62-1,,,3410,13,13,4107936.0,4107948.0,4108130.0,,,,,,,,20180701161948,20180701165932 ,4107936.0,4112024.0,1740,3,2,4
246,900495044231,10,35,111,,,27350,78,78,4108065.0,4107934.0,4198442.0,,,,,,,,20180701173331,20180701193543 ,4108065.0,4130339.0,1650,3,1,1
247,900494927188,720-1,5,92-1,,,13920,45,45,4116897.0,4114908.0,4108044.0,,,,,,,,20180701205942,20180701220432 ,4116897.0,4197591.0,1350,3,1,1
250,900096238247,34-1,310,88,,,6860,19,19,4116877.0,4106798.0,4117242.0,,,,,,,,20180701063515,20180701070253 ,4116877.0,4117022.0,1250,3,1,1
251,900015333014,13-4,13,64,,,22560,80,80,4195697.0,4116965.0,4107935.0,,,,,,,,20180701093340,20180701110316 ,4195697.0,4130089.0,1550,3,1,1
254,900502353081,33,240,720-1,,,6580,25,25,4100164.0,4100169.0,4100529.0,,,,,,,,20180701170507,20180701180917 ,4100164.0,4100462.0,1250,3,1,1
255,900518822276,301,112,13-1,,,6250,20,20,4108134.0,4108183.0,4117285.0,,,,,,,,20180701231920,20180701234541 ,4108134.0,4108087.0,1250,3,1,1
256,900341381582,8-1,777,62-1,,,18000,53,53,4103540.0,4103545.0,4108183.0,,,,,,,,20180701141211,20180701151141 ,4103540.0,4116837.0,1450,3,1,1
257,900341393637,9-2,88,25,,,16960,29,29,4117278.0,4116760.0,4108121.0,,,,,,,,20180701054330,20180701061750 ,4117278.0,4117378.0,1450,3,1,1
258,900341397278,9-2,62-1,25-2,,,13850,49,49,4176318.0,4108070.0,4108130.0,,,,,,,,20180701104536,20180701114140 ,4176318.0,4151749.0,1350,3,1,1
259,900341397278,777,27,20,,,12910,44,44,4151750.0,4108183.0,4116836.0,,,,,,,,20180701161444,20180701171058 ,4151750.0,4176831.0,1350,3,1,1
263,900195860360,51,60-1,301,,,10920,24,24,4103587.0,4103548.0,4100057.0,,,,,,,,20180701055003,20180701061722 ,4103587.0,4160290.0,1350,3,1,1
264,900185851458,777,25,112,,,10370,33,33,4122215.0,4179371.0,4108183.0,,,,,,,,20180701211632,20180701223145 ,4122215.0,4117286.0,1350,3,1,1
265,900185658395,5-1,301,35,,,12690,28,28,4119331.0,4100051.0,4170093.0,,,,,,,,20180701204018,20180701211347 ,4119331.0,4102828.0,1350,3,1,1
267,900524212284,88-1,720-1,9-2,,,9030,30,30,4116760.0,4116895.0,4116922.0,,,,,,,,20180701214340,20180701222134 ,4116760.0,4108065.0,1250,3,1,1
269,900456822430,5,301,99,,,15070,42,42,4101430.0,4100154.0,4108147.0,,,,,,,,20180701183948,20180701193614 ,4101430.0,4100127.0,1450,3,1,1
271,900487150847,7-1,M4403,3100,,,61800,73,73,4199835.0,4197467.0,4151642.0,,,,,,,,20180701184714,20180701203737 ,4199835.0,4195952.0,3100,3,1,1
272,900456842976,7800,13,15-1,,,8450,29,29,4117050.0,4116967.0,4107928.0,,,,,,,,20180701145701,20180701153208 ,4117050.0,4151704.0,2400,3,1,1
276,900526313189,42,35,2-2,,,10340,33,33,4199631.0,4102826.0,4107928.0,,,,,,,,20180701154100,20180701163327 ,4199631.0,4116808.0,1350,3,1,1
280,900525642202,98,9-1,92-1,,,7630,32,32,4116951.0,4116754.0,4107930.0,,,,,,,,20180701182222,20180701190309 ,4116951.0,4116847.0,1250,3,1,1
285,900027417384,900,909,110,,,24730,67,67,4108100.0,4122215.0,4105250.0,,,,,,,,20180701112046,20180701125252 ,4108100.0,4195035.0,2050,3,1,1
289,900518246798,13-4,10,13-1,,,12070,36,36,4114239.0,4116897.0,4116872.0,,,,,,,,20180701081340,20180701085832 ,4114239.0,4108221.0,1350,3,1,1
292,900517173030,11-1,5,7-1,,,9100,24,24,4105381.0,4122214.0,4122214.0,,,,,,,,20180701211156,20180701214604 ,4105381.0,4108038.0,1250,3,1,1
293,900517180251,3,203,15-1,,,14340,48,48,4116892.0,4108212.0,4108044.0,,,,,,,,20180701151819,20180701161723 ,4116892.0,4170944.0,1350,3,1,1
294,900105372270,820,720-2,9607,,,19830,55,55,4111685.0,4111626.0,4110082.0,,,,,,,,20180701205950,20180701221053 ,4111685.0,4110089.0,2400,3,1,1
295,100073502718,8155,38,700-2,,,13410,24,24,4130351.0,4117322.0,4116686.0,,,,,,,,20180701110924,20180701114936 ,4130351.0,4116677.0,2400,3,1,1
296,100073502718,34,38-1,8156,,,19040,39,39,4170918.0,4117321.0,4170819.0,,,,,,,,20180701132505,20180701141028 ,4170918.0,4130035.0,2400,3,1,1
297,900178568153,720-3,700-2,98,,,16420,37,37,4150341.0,4111900.0,4107937.0,,,,,,,,20180701083430,20180701091552 ,4150341.0,4108187.0,1450,3,1,1
301,900022604945,32-1,5,65,,,13940,46,46,4117322.0,4102820.0,4160291.0,,,,,,,,20180701124316,20180701135217 ,4117322.0,4170101.0,1350,3,1,1
302,900029267709,11,720-2,20,,,9020,30,30,4117247.0,4107928.0,4116907.0,,,,,,,,20180701124353,20180701133043 ,4117247.0,4113774.0,1250,3,1,1
303,900026923355,721,3,5100,,,39080,54,54,4108036.0,4108218.0,4116882.0,,,,,,,,20180701140039,20180701152312 ,4108036.0,4151640.0,2600,3,1,1
305,900515546379,999,700-2,720-2,,,18000,60,60,4116802.0,4119379.0,4116673.0,,,,,,,,20180701114915,20180701133109 ,4116802.0,4116667.0,1450,3,1,1
307,900515548324,2-1,110,77,,,22850,60,60,4116852.0,4122215.0,4101843.0,,,,,,,,20180701082846,20180701093902 ,4116852.0,4102172.0,2050,3,1,1
310,900471697593,92,112,5,,,2520,6,6,4117059.0,4117456.0,4197261.0,,,,,,,,20180701104634,20180701111907 ,4117059.0,4117396.0,870,3,1,4
317,900492427725,92-1,777,13,,,6070,24,24,4195705.0,4122215.0,4160259.0,,,,,,,,20180701211829,20180701214918 ,4195705.0,4107949.0,1250,3,1,1
322,100480530178,5,301,65,,,18790,59,59,4103435.0,4100157.0,4108145.0,,,,,,,,20180701105616,20180701121105 ,4103435.0,4116837.0,1450,3,1,1
323,100480530415,300-1,5,8,,,7250,14,14,4100088.0,4108111.0,4108045.0,,,,,,,,20180701052018,20180701060151 ,4100088.0,4170921.0,1250,3,1,1
327,900501837240,34,3,720-1,,,15470,47,47,4108013.0,4116882.0,4116895.0,,,,,,,,20180701071321,20180701081359 ,4108013.0,8004290.0,1450,3,1,1
329,900501837240,99-2,92-1,34,,,13520,48,48,4116808.0,4108053.0,4108044.0,,,,,,,,20180701105647,20180701122050 ,4116808.0,4108015.0,1350,3,1,1
331,900501844199,13,5-1,98,,,20300,58,58,4116981.0,4105382.0,4108044.0,,,,,,,,20180701114221,20180701125115 ,4116981.0,4170980.0,1550,3,1,1
333,900498954162,8-2,340-1,35,,,46060,90,90,9103351.0,4103830.0,4130349.0,,,,,,,,20180701150603,20180701165658 ,9103351.0,4199616.0,2450,3,1,1
334,900501827324,701,301,13,,,19150,47,47,4199435.0,4100048.0,4170093.0,,,,,,,,20180701122047,20180701130853 ,4199435.0,4116981.0,1450,3,1,1
335,900498942908,301,300,73,,,11550,39,39,4100016.0,4130442.0,4100048.0,,,,,,,,20180701093509,20180701104626 ,4100016.0,4170272.0,2050,3,1,1
336,900383104767,2-1,720-3,55,,,13690,37,37,4116882.0,4116873.0,4114238.0,,,,,,,,20180701162846,20180701170720 ,4116882.0,4101528.0,1350,3,1,1
338,900460181046,13-1,62-1,25-2,,,10530,40,40,4160312.0,4114449.0,4100126.0,,,,,,,,20180701105321,20180701114145 ,4160312.0,4151749.0,1350,3,1,1
339,900109195073,22,66,301,,,10620,35,35,4101526.0,4116922.0,4100140.0,,,,,,,,20180701222907,20180701231204 ,4101526.0,4108142.0,1350,3,1,1
344,900460155905,38,301,13-1,,,22530,52,52,4130283.0,4102820.0,4122215.0,,,,,,,,20180701215956,20180701230014 ,4130283.0,4116955.0,1550,3,1,1
349,900468188578,720-3,60,13,,,13020,38,38,4111736.0,4111900.0,4107937.0,,,,,,,,20180701205250,20180701213838 ,4111736.0,4107954.0,1350,3,1,1
354,900514886916,310,15,88,,,4530,12,12,4108106.0,4108109.0,4108106.0,,,,,,,,20180701120839,20180701123456 ,4108106.0,4102820.0,1250,3,1,1
355,900400284950,33-1,35,13-4,,,28300,69,69,4170433.0,4199624.0,4107928.0,,,,,,,,20180701102216,20180701114432 ,4170433.0,4170113.0,1650,3,1,1
356,900511679797,3,10,42,,,35780,85,85,4150441.0,9176783.0,4117183.0,,,,,,,,20180701073428,20180701093639 ,4150441.0,4114965.0,1850,3,1,1
358,900140050131,900,101,22,,,23560,60,60,4100126.0,4109531.0,4101508.0,,,,,,,,20180701135838,20180701150855 ,4100126.0,4103366.0,1550,3,1,1
359,900465983331,10,690,700-2,,,21200,66,66,4150421.0,4176783.0,4111743.0,,,,,,,,20180701081556,20180701094240 ,4150421.0,4111821.0,1550,3,1,1
360,900465987780,81,80,63,,,12480,35,35,4122331.0,4160364.0,4116897.0,,,,,,,,20180701213254,20180701222539 ,4122331.0,4108229.0,1350,3,1,1
361,900515116305,8,92-1,61,,,9150,31,31,4151567.0,4106798.0,4117045.0,,,,,,,,20180701074033,20180701082909 ,4151567.0,4100102.0,1250,3,1,1
