,암호화카드번호,버스노선ID1,버스노선ID2,버스노선ID3,버스노선ID4,버스노선ID5,총통행거리,총탑승시간,총소요시간,승차역ID1,승차역ID2,승차역ID3,승차역ID4,승차역ID5,하차역ID1,하차역ID2,하차역ID3,하차역ID4,하차역ID5,최초승차일시,최종하차일시,최초승차역ID,최종하차역ID,총이용금액,수집건수,총이용객수,사용자구분
31631,900504906960,10-5,15-1,66-4,,,2910,12,12,4170102.0,4107932.0,4116836.0,,,,,,,,20180703144926,20180703155050 ,4170102.0,4116835.0,1250,3,1,1
31632,900383213009,62-1,65,3000,,,33170,84,84,4108225.0,4108069.0,4108074.0,,,,,,,,20180703083447,20180703101520 ,4108225.0,4196189.0,2500,3,1,1
31634,900383220146,720-2,1550,5100,,,59420,69,69,4111848.0,4150154.0,4111869.0,,,,,,,,20180703231054,20180704012104 ,4111848.0,4116660.0,3000,3,1,1
31638,900095209822,7,301,30-1,,,20950,81,81,4100028.0,4130442.0,4117183.0,,,,,,,,20180703173855,20180703192502 ,4100028.0,4117319.0,1550,3,1,1
31641,900515698633,92-1,110,62,,,31570,93,93,4108034.0,4122215.0,4195011.0,,,,,,,,20180703115959,20180703134623 ,4108034.0,4195033.0,2150,3,1,1
31644,900517956396,310,700-2,46,,,13450,38,38,4108183.0,4170094.0,4170918.0,,,,,,,,20180703153242,20180703163454 ,4108183.0,4116678.0,1350,3,1,1
31647,900516039920,720-2,34,301,,,15460,43,43,4116666.0,4117231.0,4170271.0,,,,,,,,20180703130235,20180703140127 ,4116666.0,4100027.0,1450,3,1,1
31648,900114304047,92-1,92,19,,,2480,10,10,4108077.0,4116825.0,4108159.0,,,,,,,,20180703133215,20180703135316 ,4108077.0,4116719.0,1250,3,1,1
31654,900114166365,300,708,701,,,8900,28,28,4100088.0,4151651.0,4170971.0,,,,,,,,20180703212256,20180703220234 ,4100088.0,4170971.0,2050,3,1,1
31655,900497299468,5100,2-1,721,,,33220,56,56,4116505.0,4116883.0,4170106.0,,,,,,,,20180703204404,20180703214406 ,4116505.0,4170106.0,2500,3,1,1
31657,900130832105,116-3,68,700-2,,,10360,25,25,4111632.0,4111628.0,4111744.0,,,,,,,,20180703213423,20180703220743 ,4111632.0,4116829.0,1350,3,1,1
31659,900130865652,98,2007,333,,,35690,71,71,4108159.0,4100141.0,4100164.0,,,,,,,,20180703072155,20180703083703 ,4108159.0,4197624.0,2600,3,1,1
31660,900517970705,2-1,65,34-1,,,5490,28,28,4116753.0,4117221.0,4151663.0,,,,,,,,20180703200754,20180703204815 ,4116753.0,4101524.0,1250,3,1,1
31661,900517970946,62-1,900,301,,,14370,45,45,4170102.0,4100126.0,4100156.0,,,,,,,,20180703153728,20180703163739 ,4170102.0,4100064.0,1350,3,1,1
31667,900130266452,38,310,88,,,14520,62,62,4130156.0,4102820.0,4108130.0,,,,,,,,20180703173859,20180703184517 ,4130156.0,4116724.0,1350,3,1,1
31668,900130268657,720-3,M4101,5500-2,,,36080,67,67,4150142.0,7101697.0,4108432.0,,,,,,,,20180703080122,20180703092906 ,4150142.0,4135004.0,2600,3,1,1
31669,900130273777,37,2-1,51,,,7650,31,31,4108062.0,4111875.0,4108216.0,,,,,,,,20180703190252,20180703195159 ,4108062.0,4112037.0,1250,3,1,1
31671,900492856263,2,300,82-1,,,25860,71,71,4106960.0,4100013.0,4100083.0,,,,,,,,20180703123140,20180703134918 ,4106960.0,4108064.0,2050,3,1,1
