운수사,사업자ID,노선ID,노선번호,순번,정류장ID,정류장번호,정류소명,구간거리,위도,경도,TM_X,TM_Y
경진여객,4100800,233000051,1-1,40,233000373,36022,조암GS주유소,302,37.08357797,126.8204852,184038.5889,398303.3847
경진여객,4100800,233000051,1-1,41,233000928,36013,조암터미널,499,37.08225099,126.8158278,183624.1946,398156.9094
경진여객,4100800,233000064,10,1,233001394,36925,발안만세시장,0,37.132594,126.9084859,191868.3393,403732.0099
경진여객,4100800,233000064,10,2,277102393,,발안리(경유),233,37.13133961,126.9063707,191680.2519,403592.9807
경진여객,4100800,233000064,10,3,233000385,36844,화성시보건소앞,283,37.1290965,126.9049597,191554.6298,403344.1654
경진여객,4100800,233000064,10,4,233000815,37467,제약공단사원아파트앞,2318,37.11102915,126.9003453,191142.4855,401339.4724
경진여객,4100800,233000064,10,5,233000814,36757,상신1리마을앞,424,37.10729117,126.9006852,191172.2611,400924.6007
경진여객,4100800,233000064,10,6,233001529,37407,상신6리,355,37.10398309,126.90114,191212.3012,400557.4286
경진여객,4100800,233000064,10,7,233001530,37406,상신리,317,37.10114061,126.9017061,191262.2959,400241.9188
경진여객,4100800,233000064,10,8,233000813,37468,향남제약공단앞,779,37.09593614,126.9070646,191738.0678,399663.8496
경진여객,4100800,233000064,10,9,233001531,37405,제약공단후문.구문천1리입구,761,37.09015745,126.9103783,192032.0547,399022.2517
경진여객,4100800,233000064,10,10,233000812,36758,구문천리,297,37.08740751,126.9104826,192041.0393,398717.0555
경진여객,4100800,233000064,10,11,233001761,37812,구문천공원,1223,37.0866399,126.9048492,191540.0873,398632.3537
경진여객,4100800,233000064,10,12,233001533,37461,발안산업단지,437,37.08643212,126.8999052,191100.4906,398609.7463
경진여객,4100800,233000064,10,13,233001536,37458,구문천1리진입로,633,37.0808441,126.8997,191081.5867,397989.6107
경진여객,4100800,233000064,10,14,233001763,37813,현동목장앞,467,37.07718686,126.8982593,190953.0493,397583.8703
경진여객,4100800,233000064,10,15,233001537,36734,구문천삼거리,235,37.07606421,126.8959948,190751.5496,397459.4968
경진여객,4100800,233000064,10,16,233001793,37814,구문천5리(회차),605,37.07555847,126.8898223,190202.6122,397403.9888
경진여객,4100800,233000064,10,17,233001764,37815,구문천삼거리,601,37.07589236,126.8958768,190741.0388,397440.4367
경진여객,4100800,233000064,10,18,233001539,36732,구문천리초록마을,608,37.07151949,126.8926626,190454.6747,396955.458
경진여객,4100800,233000064,10,19,233001541,37457,구문천3리,217,37.07003097,126.8910678,190312.6614,396790.4251
경진여객,4100800,233000064,10,20,233001540,36731,구문천리초록마을,220,37.07150796,126.8928674,190472.882,396954.1578
