,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,정류소명,표준정류장ID,WGS84위도,WGS84경도,관할관청,이비카드정류장ID
9109,91191,233000095,26,30,한국폴리텍대학,233000390,37225.0,한국폴리텍대학,233000390.0,37.1217833,126.8929,경기도 화성시,4131039.0
9111,91193,233000095,26,32,동양빌딩앞,233000389,36874.0,동양빌딩앞,233000389.0,37.1270167,126.9017667,경기도 화성시,4170545.0
9112,91194,233000095,26,33,우림아파트.화성노인회관,233000525,37250.0,우림아파트.화성노인회관,233000525.0,37.12785,126.90281670000002,경기도 화성시,4117352.0
9113,91195,233000095,26,34,주공아파트,233000524,37245.0,주공아파트,233000524.0,37.1304833,126.8999667,경기도 화성시,4117353.0
9114,91196,233000095,26,35,장짐삼거리앞,233002157,55156.0,장짐삼거리앞,233002157.0,37.1386667,126.89946670000002,경기도 화성시,4107891.0
9115,91197,233000095,26,36,화성중고등학교,233000526,37255.0,화성중고등학교,233000526.0,37.1380333,126.9054833,경기도 화성시,4130359.0
9116,91198,233000095,26,37,발안만세시장,233001394,36925.0,발안만세시장,233001394.0,37.1327167,126.9086,경기도 화성시,4170637.0
9117,91199,233000095,26,38,화성시보건소앞,233000385,36844.0,화성시보건소앞,233000385.0,37.1290667,126.90493329999998,경기도 화성시,4170540.0
9120,91202,233000095,26,41,상신6리,233001529,37407.0,상신6리,233001529.0,37.1039667,126.90111670000002,경기도 화성시,4170760.0
9121,91203,233000095,26,42,상신리,233001530,37406.0,상신리,233001530.0,37.1011167,126.9016833,경기도 화성시,4170761.0
9122,91204,233000095,26,43,향남제약공단앞,233000813,37468.0,향남제약공단앞,233000813.0,37.0959167,126.90703329999998,경기도 화성시,4170816.0
9123,91205,233000095,26,44,제약공단후문.구문천1리입구,233001531,37405.0,제약공단후문.구문천1리입구,233001531.0,37.0901333,126.91035,경기도 화성시,4170762.0
9124,91206,233000095,26,45,구문천리,233000812,36758.0,구문천리,233000812.0,37.0873833,126.91045,경기도 화성시,4170284.0
9125,91207,233000095,26,46,외국인복지센터,233001760,37811.0,외국인복지센터,233001760.0,37.0866833,126.90705,경기도 화성시,4199374.0
9126,91208,233000095,26,47,구문천공원,233001761,37812.0,구문천공원,233001761.0,37.0866167,126.9048167,경기도 화성시,4199375.0
9127,91209,233000095,26,48,발안산업단지,233001533,37461.0,발안산업단지,233001533.0,37.0864,126.89986670000002,경기도 화성시,4170764.0
9128,91210,233000095,26,49,구문천1리진입로,233001536,37458.0,구문천1리진입로,233001536.0,37.0802167,126.8996833,경기도 화성시,4170767.0
9129,91211,233000095,26,50,현동목장앞,233001763,37813.0,현동목장앞,233001763.0,37.0773167,126.89855,경기도 화성시,4199376.0
9130,91212,233000095,26,51,구문천삼거리,233001537,36734.0,구문천삼거리,233001537.0,37.07605,126.89598329999998,경기도 화성시,4170768.0
9131,91213,233000095,26,52,구문천5리(회차),233001793,37814.0,구문천5리(회차),233001793.0,37.0755333,126.8898,경기도 화성시,4199377.0
9132,91214,233000095,26,53,구문천삼거리,233001764,37815.0,구문천삼거리,233001764.0,37.0758667,126.89585,경기도 화성시,4199378.0
9133,91215,233000095,26,54,구문천리초록마을,233001539,36732.0,산안농장,233001539.0,37.0715,126.8926333,경기도 화성시,4170770.0
9134,91216,233000095,26,55,구문천3리,233001541,37457.0,구문천3리,233001541.0,37.07,126.8910333,경기도 화성시,4170772.0
9135,91217,233000095,26,56,구문천리초록마을,233001540,36731.0,산안농장,233001540.0,37.0714833,126.8928333,경기도 화성시,4170771.0
9137,91219,233000095,26,58,현동목장앞,233001765,37816.0,현동목장앞,233001765.0,37.0771833,126.8987167,경기도 화성시,4199379.0
9138,91220,233000095,26,59,발안산업단지,233001534,37460.0,발안산업단지,233001534.0,37.0861833,126.89988329999998,경기도 화성시,4170765.0
9139,91221,233000095,26,60,구문천공원,233001767,37817.0,구문천공원,233001767.0,37.08631670000001,126.9047,경기도 화성시,4199380.0
9140,91222,233000095,26,61,메탈산업단지,233001768,37818.0,메탈산업단지,233001768.0,37.0864833,126.90961670000002,경기도 화성시,4199381.0
9141,91223,233000095,26,62,제약공단후문.구문천1리입구,233000805,36759.0,제약공단후문.구문천1리입구,233000805.0,37.09015,126.91075,경기도 화성시,4170279.0
9142,91224,233000095,26,63,상신리,233000804,36760.0,상신리,233000804.0,37.1011333,126.90195,경기도 화성시,4170278.0
9143,91225,233000095,26,64,상신6리,233000803,37470.0,상신6리,233000803.0,37.1028667,126.9017167,경기도 화성시,4170813.0
9145,91227,233000095,26,66,제약공단사원아파트앞,233000801,36762.0,제약공단사원아파트앞,233000801.0,37.1114167,126.9005333,경기도 화성시,4170276.0
9146,91228,233000095,26,67,화성시보건소앞,233000388,36875.0,화성시보건소앞,233000388.0,37.1287833,126.9049,경기도 화성시,4170544.0
9147,91229,233000095,26,68,발안만세시장,233000387,36876.0,발안만세시장,233000387.0,37.1333,126.9094167,경기도 화성시,4170543.0
9148,91230,233000095,26,69,발안삼거리.바다마트,233001558,37270.0,발안삼거리.바다마트,233001558.0,37.1359167,126.91095,경기도 화성시,4130357.0
9149,91231,233000095,26,70,화성중고등학교,233000924,37256.0,화성중고등학교,233000924.0,37.1379333,126.90605,경기도 화성시,4130358.0
9150,91232,233000095,26,71,장짐삼거리앞,233002156,55114.0,장짐삼거리앞,233002156.0,37.1387167,126.89936670000002,경기도 화성시,4196040.0
9151,91233,233000095,26,72,발안주공아파트,233001935,37941.0,발안주공아파트,233001935.0,37.1310667,126.8990833,경기도 화성시,4170998.0
9152,91234,233000095,26,73,발안마을주공아파트,233000523,36908.0,발안마을주공아파트,233000523.0,37.1293833,126.90068329999998,경기도 화성시,4170623.0
9153,91235,233000095,26,74,우림아파트.화성노인회관,233000522,37428.0,우림아파트.화성노인회관,233000522.0,37.1281333,126.9021167,경기도 화성시,4170801.0
9154,91236,233000095,26,75,동양빌딩앞,233000384,37248.0,동양빌딩앞,233000384.0,37.1272167,126.9017833,경기도 화성시,4131035.0
9155,91237,233000095,26,76,제암리,233001395,37230.0,제암리,233001395.0,37.1242,126.8962167,경기도 화성시,4131036.0
9156,91238,233000095,26,77,한국폴리텍대학,233001555,37224.0,한국폴리텍대학,233001555.0,37.1219,126.8927167,경기도 화성시,4131038.0
9157,91239,233000095,26,78,매곡리,233000926,37216.0,매곡리,233000926.0,37.1174333,126.8883833,경기도 화성시,4131040.0
9158,91240,233000095,26,79,해창1리.우리꽃식물원,233000927,37205.0,해창1리.우리꽃식물원,233000927.0,37.1131333,126.88195,경기도 화성시,4131042.0
9159,91241,233000095,26,80,월문온천,233000464,36883.0,월문온천,233000464.0,37.1144333,126.87755,경기도 화성시,4170597.0
9160,91242,233000095,26,81,월문초등학교,233000463,37437.0,월문초등학교,233000463.0,37.1179,126.87151670000002,경기도 화성시,4170792.0
9161,91243,233000095,26,82,월문리,233001353,36934.0,월문리,233001353.0,37.1195167,126.86901670000002,경기도 화성시,4170628.0
9162,91244,233000095,26,83,화당리,233000462,36884.0,화당리,233000462.0,37.1220167,126.8648333,경기도 화성시,4170596.0
9163,91245,233000095,26,84,서근리,233001354,36933.0,서근리,233001354.0,37.1262667,126.85755,경기도 화성시,4170629.0
9164,91246,233000095,26,85,서근리(느락골),233001355,36932.0,서근리(느락골),233001355.0,37.1280833,126.8503833,경기도 화성시,4170630.0
9165,91247,233000095,26,86,석포삼거리,233001356,37526.0,석포삼거리,233001356.0,37.1308667,126.8438667,경기도 화성시,4170887.0
9166,91248,233000095,26,87,석포4리,233000461,36885.0,석포4리,233000461.0,37.13005,126.8395833,경기도 화성시,4170595.0
9167,91249,233000095,26,88,석포2리,233000460,37438.0,석포2리,233000460.0,37.1292667,126.8372167,경기도 화성시,4170791.0
9168,91250,233000095,26,89,석포2리,233001403,37542.0,석포2리,233001403.0,37.1263333,126.8349667,경기도 화성시,4170903.0
9169,91251,233000095,26,90,석포3리,233000459,36886.0,석포3리,233000459.0,37.1206167,126.83088329999998,경기도 화성시,4170594.0
9170,91252,233000095,26,91,금의3리,233000458,36887.0,금의3리,233000458.0,37.1179833,126.8288833,경기도 화성시,4170593.0
9171,91253,233000095,26,92,주곡1리,233000457,36888.0,주곡1리,233000457.0,37.11765,126.8249833,경기도 화성시,4170592.0
9172,91254,233000095,26,93,주곡1리입구,233001415,37539.0,주곡1리입구,233001415.0,37.1165667,126.8193,경기도 화성시,4170906.0
9173,91255,233000095,26,94,금의2리,233000456,37439.0,금의2리,233000456.0,37.1166167,126.81645,경기도 화성시,4170790.0
9174,91256,233000095,26,95,경신공업사,233001563,37627.0,경신공업사,233001563.0,37.11525,126.8131167,경기도 화성시,4198941.0
9176,91258,233000095,26,97,화수사거리,233001117,37491.0,화수사거리,233001117.0,37.1096333,126.8018833,경기도 화성시,4170851.0
9177,91259,233000095,26,98,멱우1리,233001351,37607.0,멱우1리,233001351.0,37.10605,126.80781670000002,경기도 화성시,4198803.0
9179,91261,233000095,26,100,멱우2리부대앞,233001074,37495.0,멱우2리부대앞,233001074.0,37.0957667,126.8151,경기도 화성시,4170847.0
9180,91262,233000095,26,101,한각리입구,233001068,36707.0,한각리입구,233001068.0,37.0918833,126.81641670000002,경기도 화성시,4170381.0
9181,91263,233000095,26,102,우정읍복지센터입구,233001069,37496.0,우정읍사무소입구,233001069.0,37.0895667,126.8170667,경기도 화성시,4170846.0
9182,91264,233000095,26,103,삼괴중고등학교,233001066,37497.0,삼괴중고등학교,233001066.0,37.0867667,126.81893329999998,경기도 화성시,4170845.0
9183,91265,233000095,26,104,시장앞,233001247,36936.0,시장앞,233001247.0,37.0849167,126.8193,경기도 화성시,4170643.0
9184,91266,233000095,26,105,어은삼거리,233000931,37122.0,어은삼거리,233000931.0,37.0859167,126.8264,경기도 화성시,4131075.0
9186,91268,233000095,26,107,장안면행정복지센터,233000498,37127.0,장안면사무소,233000498.0,37.0788167,126.83056670000002,경기도 화성시,4131070.0
9187,91269,233000095,26,108,어은4리,233000497,37125.0,어은4리,233000497.0,37.0818,126.82836670000002,경기도 화성시,4131072.0
9188,91270,233000095,26,109,어은삼거리,233001816,37792.0,어은삼거리,233001816.0,37.0858833,126.8265,경기도 화성시,4131074.0
9189,91271,233000095,26,110,장안초등학교,233001366,37389.0,장안초등학교,233001366.0,37.08481670000001,126.8235,경기도 화성시,4170696.0
9190,91272,233000095,26,111,조암GS주유소,233000373,36022.0,조암GS주유소,233000373.0,37.0836,126.8204833,경기도 화성시,4131076.0
9191,91273,233000095,26,112,조암터미널,233000928,36013.0,조암터미널,233000928.0,37.0822333,126.8158,경기도 화성시,4131077.0
9192,91274,233000096,27,1,조암터미널,233000929,36011.0,조암터미널,233000929.0,37.08215,126.8155833,경기도 화성시,4131078.0
9194,91276,233000096,27,3,장안여자중학교,233000992,36797.0,장안여자중학교,233000992.0,37.0785667,126.8152167,경기도 화성시,4170365.0
9195,91277,233000096,27,4,사곡6리,233000496,36910.0,사곡6리,233000496.0,37.0748167,126.81515,경기도 화성시,4170621.0
9196,91278,233000096,27,5,장안우체국,233002511,55388.0,장안우체국,233002511.0,37.0721667,126.81385,경기도 화성시,4121794.0
9197,91279,233000096,27,6,사곡1리,233000993,37478.0,사곡1리,233000993.0,37.0690833,126.8092167,경기도 화성시,4170832.0
9198,91280,233000096,27,7,장자터,233001776,37834.0,장작터,233001776.0,37.0664833,126.8021667,경기도 화성시,4199397.0
9199,91281,233000096,27,8,기아생활관,233000485,36918.0,기아생활관,233000485.0,37.0643833,126.7956167,경기도 화성시,4170613.0
9200,91282,233000096,27,9,화산삼거리,233001554,36701.0,화산삼거리,233001554.0,37.0626667,126.79246670000002,경기도 화성시,4170612.0
9201,91283,233000096,27,10,기아2차아파트앞,233002268,55143.0,기아2차아파트앞,233002268.0,37.0604667,126.7929,경기도 화성시,4170605.0
9202,91284,233000096,27,11,석천1리포도원,233000473,36906.0,석천1리포도원,233000473.0,37.05806670000001,126.7937667,경기도 화성시,4170604.0
9203,91285,233000096,27,12,두레자연중고등학교,233001383,36951.0,두레자연중고등학교,233001383.0,37.0564,126.79528329999998,경기도 화성시,4170661.0
9204,91286,233000096,27,13,장자터,233001780,37839.0,장작터,233001780.0,37.06641670000001,126.80225,경기도 화성시,4199405.0
9205,91287,233000096,27,14,사곡1리,233000476,37434.0,사곡1리,233000476.0,37.0689,126.80925,경기도 화성시,4170795.0
9206,91288,233000096,27,15,장안우체국,233002512,55389.0,장안우체국,233002512.0,37.0721167,126.81395,경기도 화성시,4121809.0
9207,91289,233000096,27,16,사곡6리,233000487,37431.0,사곡6리,233000487.0,37.0749667,126.8153333,경기도 화성시,4170798.0
9208,91290,233000096,27,17,장안여자중학교,233000486,36917.0,장안여자중학교,233000486.0,37.0785667,126.8154,경기도 화성시,4170614.0
9209,91291,233000096,27,18,조암터미널,233000928,36013.0,조암터미널,233000928.0,37.0822333,126.8158,경기도 화성시,4131077.0
9210,91292,233000117,340-1,1,대방노블랜드,233001957,37958.0,대방노블랜드,233001957.0,37.13095,126.9251833,경기도 화성시,4105650.0
9211,91293,233000117,340-1,2,향남중고등학교,233001853,37896.0,향남중고등학교,233001853.0,37.1289333,126.9269167,경기도 화성시,4199617.0
9212,91294,233000117,340-1,3,향남고등학교,233002074,55051.0,향남고등학교,233002074.0,37.1277167,126.92681670000002,경기도 화성시,4120441.0
9213,91295,233000117,340-1,4,한일베라체.행정초교,233001854,37897.0,한일베라체.행정초교,233001854.0,37.1260167,126.92421670000002,경기도 화성시,4199618.0
9214,91296,233000117,340-1,5,신영지웰아파트,233001988,37978.0,신영지웰아파트,233001988.0,37.12605,126.9217,경기도 화성시,4130283.0
9217,91299,233000117,340-1,8,신명스카이뷰.우미린,233001857,37900.0,신명스카이뷰.우미린,233001857.0,37.1277,126.9151167,경기도 화성시,4199621.0
9221,91303,233000117,340-1,12,향남읍행정복지센터,233000633,37288.0,향남읍사무소,233000633.0,37.1317667,126.91915,경기도 화성시,4130350.0
9222,91304,233000117,340-1,13,화성중앙병원.발안초등학교,233001026,37269.0,화성중앙병원.발안초등학교,233001026.0,37.1311833,126.9115,경기도 화성시,4130354.0
9223,91305,233000117,340-1,14,발안사거리.평리,233001565,37625.0,발안사거리.평리,233001565.0,37.1314667,126.91048329999998,경기도 화성시,4198939.0
9224,91306,233000117,340-1,15,발안삼거리.바다마트,233001558,37270.0,발안삼거리.바다마트,233001558.0,37.1359167,126.91095,경기도 화성시,4130357.0
9225,91307,233000117,340-1,16,화성중고등학교,233000924,37256.0,화성중고등학교,233000924.0,37.1379333,126.90605,경기도 화성시,4130358.0
9226,91308,233000117,340-1,17,장짐삼거리,233002356,55238.0,장짐삼거리,233002356.0,37.1396,126.90105,경기도 화성시,4170326.0
9227,91309,233000117,340-1,18,지월리입구,233000925,37234.0,지월리입구,233000925.0,37.1450667,126.89805,경기도 화성시,4117354.0
9228,91310,233000117,340-1,19,수목원,233000546,37240.0,수목원,233000546.0,37.1479833,126.8992,경기도 화성시,4130362.0
9229,91311,233000117,340-1,20,구장리새터말입구,233001557,37241.0,구장리새터말입구,233001557.0,37.1540833,126.8992333,경기도 화성시,4130365.0
9230,91312,233000117,340-1,21,구장1리,233000545,36907.0,구장1리,233000545.0,37.1555667,126.8991167,경기도 화성시,4170626.0
9231,91313,233000117,340-1,22,팔탄초등학교,233000521,37252.0,팔탄초등학교,233000521.0,37.1593667,126.9031,경기도 화성시,4130366.0
9232,91314,233000117,340-1,23,팔탄면행정복지센터,233000516,37254.0,팔탄면사무소앞,233000516.0,37.1621667,126.9042167,경기도 화성시,4130368.0
9233,91315,233000117,340-1,24,구장삼거리,233001030,37229.0,구장삼거리,233001030.0,37.1680167,126.89601670000002,경기도 화성시,4130371.0
9234,91316,233000117,340-1,25,구장사거리앞,233002052,55003.0,구장사거리앞,233002052.0,37.16975,126.89335,경기도 화성시,4170960.0
9235,91317,233000117,340-1,26,창곡주유소앞,233002050,55019.0,창곡주유소앞,233002050.0,37.1746333,126.89078329999998,경기도 화성시,4107838.0
9236,91318,233000117,340-1,27,창곡3리.독골,233001750,37766.0,창곡3리.독골,233001750.0,37.1781167,126.8896,경기도 화성시,4170401.0
9237,91319,233000117,340-1,28,우렁골입구,233002048,55005.0,우렁골입구,233002048.0,37.1817667,126.8873167,경기도 화성시,4107826.0
9238,91320,233000117,340-1,29,창곡2리교회앞,233001752,37772.0,창곡2리교회앞,233001752.0,37.1855833,126.8846167,경기도 화성시,4170803.0
9239,91321,233000117,340-1,30,창곡1리,233002229,55119.0,창곡1리,233002229.0,37.1866167,126.88415,경기도 화성시,4170568.0
9240,91322,233000117,340-1,31,금산사입구,233000542,37209.0,금산사입구,233000542.0,37.1899,126.88335,경기도 화성시,4170624.0
9241,91323,233000117,340-1,32,언창공단,233002045,55007.0,언창공단,233002045.0,37.1933667,126.8824,경기도 화성시,4107794.0
9242,91324,233000117,340-1,33,창곡1리입구,233002168,55126.0,창곡1리입구,233002168.0,37.1960667,126.8812833,경기도 화성시,4170986.0
9243,91325,233000117,340-1,34,청요사거리,233000898,37575.0,청요사거리,233000898.0,37.19826670000001,126.88008329999998,경기도 화성시,4170994.0
9246,91328,233000117,340-1,37,송라리,233003012,55453.0,송라리,233003012.0,37.2819167,126.9088833,경기도 화성시,4121792.0
9276,91358,233000117,340-1,67,청요사거리,233000895,37576.0,청요사거리,233000895.0,37.1977,126.8801,경기도 화성시,4170993.0
9277,91359,233000117,340-1,68,언창공단,233002044,55018.0,언창공단,233002044.0,37.1933333,126.8823,경기도 화성시,4107793.0
9278,91360,233000117,340-1,69,금산사입구,233000529,37208.0,금산사입구,233000529.0,37.19,126.88315,경기도 화성시,4107857.0
9279,91361,233000117,340-1,70,창곡1리,233002230,55120.0,창곡1리,233002230.0,37.1874,126.8838167,경기도 화성시,4107858.0
9280,91362,233000117,340-1,71,창곡2리교회앞,233002046,55013.0,창곡2리교회앞,233002046.0,37.1847833,126.8849667,경기도 화성시,4107823.0
9281,91363,233000117,340-1,72,자재이골입구,233002047,55006.0,자재이골입구,233002047.0,37.1817,126.8872333,경기도 화성시,4107824.0
9282,91364,233000117,340-1,73,창곡3리,233001751,37761.0,창곡3리,233001751.0,37.1774,126.8897167,경기도 화성시,4130372.0
9283,91365,233000117,340-1,74,창곡주유소앞,233002049,55004.0,창곡주유소앞,233002049.0,37.1746,126.8906833,경기도 화성시,4107837.0
9284,91366,233000117,340-1,75,구장사거리앞,233002051,55012.0,구장사거리앞,233002051.0,37.1698667,126.89301670000002,경기도 화성시,4107848.0
9285,91367,233000117,340-1,76,구장삼거리,233001031,37228.0,구장삼거리,233001031.0,37.1679833,126.8959167,경기도 화성시,4130370.0
9286,91368,233000117,340-1,77,팔탄면행정복지센터,233001029,37253.0,팔탄면사무소앞,233001029.0,37.1622333,126.9039667,경기도 화성시,4130369.0
9287,91369,233000117,340-1,78,팔탄초등학교,233000517,37251.0,팔탄초등학교,233000517.0,37.1595333,126.9031333,경기도 화성시,4130367.0
9288,91370,233000117,340-1,79,구장1리(새터말.율암리),233000923,36803.0,구장1리(새터말.율암리),233000923.0,37.1553167,126.89891670000002,경기도 화성시,4170420.0
9289,91371,233000117,340-1,80,구장리새터말입구,233002351,55256.0,구장리새터말입구,233002351.0,37.1534167,126.89906670000002,경기도 화성시,4130364.0
9290,91372,233000117,340-1,81,수목원,233000528,37242.0,수목원,233000528.0,37.1484667,126.8991833,경기도 화성시,4130363.0
9291,91373,233000117,340-1,82,지월리입구,233000527,37235.0,지월리입구,233000527.0,37.1438167,126.8973667,경기도 화성시,4130361.0
9292,91374,233000117,340-1,83,장짐삼거리,233002357,55239.0,장짐삼거리,233002357.0,37.1395,126.90108329999998,경기도 화성시,4170337.0
9293,91375,233000117,340-1,84,화성중고등학교,233000526,37255.0,화성중고등학교,233000526.0,37.1380333,126.9054833,경기도 화성시,4130359.0
9294,91376,233000117,340-1,85,발안삼거리.바다마트,233001371,37273.0,발안삼거리.바다마트,233001371.0,37.1356167,126.9113,경기도 화성시,4130356.0
9295,91377,233000117,340-1,86,KEB하나은행발안지점,233001934,37940.0,KEB하나은행발안지점,233001934.0,37.1333667,126.9107833,경기도 화성시,4198442.0
9296,91378,233000117,340-1,87,발안초등학교,233000632,37464.0,발안초등학교,233000632.0,37.1310333,126.9121667,경기도 화성시,4170805.0
9297,91379,233000117,340-1,88,향남읍행정복지센터,233001023,37289.0,향남읍사무소,233001023.0,37.1315333,126.91975,경기도 화성시,4130349.0
9300,91382,233000117,340-1,91,우미린아파트.향일고,233002019,37995.0,우미린아파트.향일고,233002019.0,37.13,126.91785,경기도 화성시,4170313.0
9303,91385,233000117,340-1,94,에일린의뜰.휴먼시아6단지,233002022,37993.0,에일린의뜰.휴먼시아6단지,233002022.0,37.12595,126.9193833,경기도 화성시,4170320.0
9304,91386,233000117,340-1,95,신영지웰아파트,233002023,37999.0,신영지웰아파트,233002023.0,37.1258667,126.92171670000002,경기도 화성시,4170344.0
9305,91387,233000117,340-1,96,한일베라채,233002024,37998.0,한일베라채,233002024.0,37.1258333,126.9243833,경기도 화성시,4170402.0
9307,91389,233000117,340-1,98,향남중고등학교,233002025,37990.0,향남중고등학교,233002025.0,37.1289667,126.92718329999998,경기도 화성시,4170416.0
9308,91390,233000117,340-1,99,상록하늘채,233001956,37957.0,상록하늘채,233001956.0,37.1311167,126.9252167,경기도 화성시,4105649.0
9310,91392,233000125,1008,1,현대기아연구소,233002226,55109.0,현대기아연구소,233002226.0,37.1614333,126.84466670000002,경기도 화성시,4130218.0
9312,91394,233000125,1008,3,온석2통앞,233002221,55111.0,온석2통앞,233002221.0,37.1672667,126.84718329999998,경기도 화성시,4130251.0
9313,91395,233000125,1008,4,온석동입구,233002224,55113.0,온석동입구,233002224.0,37.1736667,126.8454,경기도 화성시,4130237.0
9314,91396,233000125,1008,5,안장골입구,233002225,55118.0,안장골입구,233002225.0,37.17921670000001,126.8442833,경기도 화성시,4170261.0
9315,91397,233000125,1008,6,무송그린빌리지,233002295,55177.0,무송그린빌리지,233002295.0,37.1858167,126.8457833,경기도 화성시,4116225.0
9316,91398,233000125,1008,7,무송1통마을입구,233001041,36045.0,무송1통마을입구,233001041.0,37.1880333,126.8452,경기도 화성시,4130390.0
9317,91399,233000125,1008,8,그린빌라.롤링힐스,233002131,55105.0,그린빌라.롤링힐스,233002131.0,37.18955,126.84206670000002,경기도 화성시,4170372.0
9318,91400,233000125,1008,9,롤링힐스,233000148,36441.0,롤링힐스,233000148.0,37.1918667,126.83955,경기도 화성시,4120446.0
9319,91401,233000125,1008,10,대광아파트,233000191,36037.0,대광아파트,233000191.0,37.1942667,126.8340333,경기도 화성시,4130392.0
9320,91402,233000125,1008,11,공군부대입구,233000190,36036.0,공군부대입구,233000190.0,37.1962333,126.83128329999998,경기도 화성시,4130194.0
9321,91403,233000125,1008,12,화성시청,233000189,36028.0,화성시청,233000189.0,37.19835,126.82845,경기도 화성시,4102925.0
9322,91404,233000125,1008,13,남양뉴타운.양우내안애,233000188,36804.0,남양뉴타운,233000188.0,37.2023333,126.8243333,경기도 화성시,4170415.0
9323,91405,233000125,1008,14,남양중고교입구,233001318,36023.0,남양중고교입구,233001318.0,37.2044333,126.82215,경기도 화성시,4130189.0
9324,91406,233000125,1008,15,남양사거리,233000730,36019.0,남양사거리,233000730.0,37.2091667,126.81901670000002,경기도 화성시,4102894.0
9325,91407,233000125,1008,16,남양읍행정복지센터,233000729,36025.0,남양읍주민센터,233000729.0,37.2117667,126.8234167,경기도 화성시,4102896.0
9326,91408,233000125,1008,17,동수원남양병원,233000728,36029.0,동수원남양병원,233000728.0,37.2145333,126.82956670000002,경기도 화성시,4102898.0
9327,91409,233000125,1008,18,북양1통.봉림사,233000727,36035.0,북양1통.봉림사,233000727.0,37.2185833,126.83213329999998,경기도 화성시,4102900.0
9328,91410,233000125,1008,19,북양1통.염티고개,233000726,36043.0,북양1통.염티고개,233000726.0,37.2220833,126.83983329999998,경기도 화성시,4102902.0
9329,91411,233000125,1008,20,양노3리,233000725,37153.0,양노3리,233000725.0,37.22685,126.8582167,경기도 화성시,4102904.0
9330,91412,233000125,1008,21,양노리,233002118,55087.0,양노리,233002118.0,37.2288333,126.85995,경기도 화성시,4197693.0
9331,91413,233000125,1008,22,삼화리,233000724,37162.0,삼화리,233000724.0,37.2362,126.8637,경기도 화성시,4102907.0
9332,91414,233000125,1008,23,천산아파트,233000723,37169.0,천산아파트,233000723.0,37.2364667,126.86598329999998,경기도 화성시,4107808.0
9333,91415,233000125,1008,24,비봉초등학교후문,233000722,37171.0,비봉초등학교후문,233000722.0,37.2362167,126.8682333,경기도 화성시,4102910.0
9334,91416,233000125,1008,25,비봉중고등학교,233000721,37186.0,비봉중고등학교,233000721.0,37.2368667,126.8739,경기도 화성시,4102912.0
9335,91417,233000125,1008,26,구포리과수원,233000720,37200.0,구포리과수원,233000720.0,37.2394,126.88051670000002,경기도 화성시,4107809.0
9336,91418,233000125,1008,27,쌍학리,233000719,37620.0,쌍학리,233000719.0,37.24825,126.89245,경기도 화성시,4198918.0
9337,91419,233000125,1008,28,숙곡리천불사,233000718,37237.0,숙곡리천불사,233000718.0,37.2479833,126.8983333,경기도 화성시,4102929.0
9338,91420,233000125,1008,29,어천,233000842,37565.0,어천,233000842.0,37.24935,126.9108333,경기도 화성시,4170962.0
9339,91421,233000125,1008,30,어천저수지,233002149,55106.0,어천저수지,233002149.0,37.25125,126.91481670000002,경기도 화성시,4117419.0
9340,91422,233000125,1008,31,51사단,233000717,37290.0,51사단,233000717.0,37.2508667,126.9209,경기도 화성시,4102933.0
9341,91423,233000125,1008,32,원평,233000716,37295.0,원평,233000716.0,37.2493167,126.92545,경기도 화성시,4102935.0
9342,91424,233000125,1008,33,매송초등학교,233000891,37298.0,매송초등학교,233000891.0,37.2488833,126.92735,경기도 화성시,4107850.0
9343,91425,233000125,1008,34,전승아파트,233000715,37304.0,전승아파트,233000715.0,37.2462667,126.9306,경기도 화성시,4102937.0
9344,91426,233000125,1008,35,옥산마을,233000714,37308.0,옥산마을,233000714.0,37.2448167,126.93671670000002,경기도 화성시,4102939.0
9345,91427,233000125,1008,36,천천리,233000713,37312.0,천천리일광사,233000713.0,37.2445833,126.94205,경기도 화성시,4102941.0
9346,91428,233000125,1008,37,천천리입구,233000712,37316.0,천천리검문소,233000712.0,37.24365,126.94741670000002,경기도 화성시,4102943.0
9375,91457,233000125,1008,66,천천리입구,233000781,37321.0,천천리검문소,233000781.0,37.24385,126.94825,경기도 화성시,4102944.0
9376,91458,233000125,1008,67,천천리,233000849,37313.0,천천리일광사,233000849.0,37.2446167,126.9424667,경기도 화성시,4102942.0
9377,91459,233000125,1008,68,옥산마을,233000848,37309.0,옥산마을,233000848.0,37.24485,126.93703329999998,경기도 화성시,4102940.0
9378,91460,233000125,1008,69,전승아파트,233000847,37305.0,전승아파트,233000847.0,37.2463667,126.93061670000002,경기도 화성시,4102938.0
9379,91461,233000125,1008,70,매송초등학교,233002174,55188.0,매송초등학교,233002174.0,37.24885,126.9277,경기도 화성시,4107958.0
9380,91462,233000125,1008,71,원평,233000846,37299.0,원평,233000846.0,37.2494,126.92556670000002,경기도 화성시,4102936.0
9381,91463,233000125,1008,72,51사단,233000845,37291.0,51사단,233000845.0,37.2509667,126.92086670000002,경기도 화성시,4102934.0
9382,91464,233000125,1008,73,어천저수지,233002150,55107.0,어천저수지,233002150.0,37.25135,126.91478329999998,경기도 화성시,4130323.0
9383,91465,233000125,1008,74,어천,233000844,37566.0,어천,233000844.0,37.2494667,126.91085,경기도 화성시,4170961.0
9384,91466,233000125,1008,75,숙곡리천불사,233000843,37238.0,숙곡리천불사,233000843.0,37.2480833,126.8987167,경기도 화성시,4102930.0
