,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,정류소명,표준정류장ID,WGS84위도,WGS84경도,관할관청,이비카드정류장ID
6806,88154,233000004,1004,41,쌍송리입구.은장고개,233000733,37115.0,쌍송리입구.은장고개,233000733.0,37.2022,126.7890667,경기도 화성시,4102887.0
6807,88155,233000004,1004,42,남양육리.남양1동,233000732,36008.0,남양육리.남양1동,233000732.0,37.2039,126.8015333,경기도 화성시,4102889.0
6808,88156,233000004,1004,43,우림아파트,233000731,36009.0,우림아파트,233000731.0,37.2054833,126.80585,경기도 화성시,4102890.0
6809,88157,233000004,1004,44,경기남부수협.보건소,233002170,55115.0,남양보건소,233002170.0,37.2069167,126.8118833,경기도 화성시,4130107.0
6810,88158,233000004,1004,45,남양성지,233000841,36015.0,남양성지,233000841.0,37.20735,126.81498329999998,경기도 화성시,4107805.0
6811,88159,233000004,1004,46,남양사거리,233000730,36019.0,남양사거리,233000730.0,37.2091667,126.81901670000002,경기도 화성시,4102894.0
6812,88160,233000004,1004,47,남양읍행정복지센터,233000729,36025.0,남양읍주민센터,233000729.0,37.2117667,126.8234167,경기도 화성시,4102896.0
6813,88161,233000004,1004,48,동수원남양병원,233000728,36029.0,동수원남양병원,233000728.0,37.2145333,126.82956670000002,경기도 화성시,4102898.0
6814,88162,233000004,1004,49,북양1통.봉림사,233000727,36035.0,북양1통.봉림사,233000727.0,37.2185833,126.83213329999998,경기도 화성시,4102900.0
6815,88163,233000004,1004,50,북양1통.염티고개,233000726,36043.0,북양1통.염티고개,233000726.0,37.2220833,126.83983329999998,경기도 화성시,4102902.0
6816,88164,233000004,1004,51,양노3리,233000725,37153.0,양노3리,233000725.0,37.22685,126.8582167,경기도 화성시,4102904.0
6817,88165,233000004,1004,52,양노리,233002118,55087.0,양노리,233002118.0,37.2288333,126.85995,경기도 화성시,4197693.0
6821,88169,233000004,1004,56,천천리입구,233000712,37316.0,천천리검문소,233000712.0,37.24365,126.94741670000002,경기도 화성시,4102943.0
6822,88170,233000004,1004,57,삼미.쌍용아파트,233000711,37324.0,삼미.쌍용아파트,233000711.0,37.2432,126.9533,경기도 화성시,4102945.0
6844,88192,233000004,1004,79,삼미.쌍용아파트,233000782,37325.0,삼미.쌍용아파트,233000782.0,37.2434333,126.9534833,경기도 화성시,4151793.0
6845,88193,233000004,1004,80,천천리입구,233000781,37321.0,천천리검문소,233000781.0,37.24385,126.94825,경기도 화성시,4102944.0
6850,88198,233000004,1004,85,양노리,233000773,37154.0,양노리,233000773.0,37.2290833,126.8597667,경기도 화성시,4102905.0
6851,88199,233000004,1004,86,양노3리,233003082,55393.0,양노3리,233003082.0,37.2267667,126.8577167,경기도 화성시,4107844.0
6852,88200,233000004,1004,87,북양1통.염티고개,233000772,36042.0,북양1통.염티고개,233000772.0,37.2221333,126.83903329999998,경기도 화성시,4102903.0
6853,88201,233000004,1004,88,북양1통,233000771,37776.0,북양1통,233000771.0,37.21895,126.8318,경기도 화성시,4102901.0
6854,88202,233000004,1004,89,동수원남양병원,233000770,36030.0,동수원남양병원,233000770.0,37.2147333,126.8295167,경기도 화성시,4102899.0
6855,88203,233000004,1004,90,남양읍행정복지센터,233000769,36026.0,남양읍주민센터,233000769.0,37.21195,126.8233667,경기도 화성시,4102897.0
6856,88204,233000004,1004,91,남양사거리,233000768,36021.0,남양사거리,233000768.0,37.2094333,126.8191,경기도 화성시,4102895.0
6857,88205,233000004,1004,92,남양성지,233000767,36014.0,남양성지,233000767.0,37.2076167,126.8160667,경기도 화성시,4102893.0
6858,88206,233000004,1004,93,경기남부수협.보건소,233002171,55116.0,남양보건소,233002171.0,37.2070333,126.81185,경기도 화성시,4151702.0
6859,88207,233000004,1004,94,우림아파트,233000766,36010.0,우림아파트,233000766.0,37.20565,126.80613329999998,경기도 화성시,4102891.0
6860,88208,233000004,1004,95,남양육리.남양1동,233000765,36007.0,남양육리.남양1동,233000765.0,37.2039833,126.80096670000002,경기도 화성시,4102888.0
6861,88209,233000004,1004,96,은장고개,233001298,37114.0,은장고개,233001298.0,37.2026667,126.7882833,경기도 화성시,4102886.0
6862,88210,233000004,1004,97,두곡리,233000764,37109.0,두곡리,233000764.0,37.2055333,126.7831667,경기도 화성시,4102884.0
6863,88211,233000004,1004,98,재래시장.마도삼거리,233000763,37108.0,재래시장.마도삼거리,233000763.0,37.2063333,126.7808,경기도 화성시,4102883.0
6864,88212,233000004,1004,99,마도사거리,233000762,37105.0,마도사거리,233000762.0,37.20715,126.7746,경기도 화성시,4170953.0
6865,88213,233000004,1004,100,외국인보호소,233000761,37104.0,외국인보호소,233000761.0,37.20805,126.76711670000002,경기도 화성시,4102879.0
6866,88214,233000004,1004,101,구리섬앞,233000857,37562.0,구리섬앞,233000857.0,37.2087167,126.7646,경기도 화성시,4170952.0
6867,88215,233000004,1004,102,구리섬휴게소,233000760,37101.0,구리섬휴게소,233000760.0,37.2094667,126.76305,경기도 화성시,4102876.0
6868,88216,233000004,1004,103,삼존리자동차성능시험장,233000759,37100.0,삼존리자동차성능시험장,233000759.0,37.2108,126.7605167,경기도 화성시,4102875.0
6869,88217,233000004,1004,104,돼지고개.삼존리물미,233000877,37097.0,돼지고개.삼존리물미,233000877.0,37.2116833,126.7553833,경기도 화성시,4102873.0
6870,88218,233000004,1004,105,봉가1리,233000878,37095.0,봉가1리,233000878.0,37.2122833,126.74531670000002,경기도 화성시,4107792.0
6871,88219,233000004,1004,106,송산농협.사강정형외과,233000858,37089.0,송산농협.사강정형외과,233000858.0,37.21346670000001,126.7389,경기도 화성시,4102871.0
6872,88220,233000004,1004,107,사강시장,233000859,37085.0,사강시장,233000859.0,37.2131833,126.7369167,경기도 화성시,4102869.0
6873,88221,233000004,1004,108,사강복지회관,233000271,37081.0,사강복지회관,233000271.0,37.2128667,126.7326333,경기도 화성시,4102867.0
6874,88222,233000004,1004,109,육일리.육교동입구,233000270,37370.0,육일리.육교동입구,233000270.0,37.2093667,126.72775,경기도 화성시,4196037.0
6875,88223,233000004,1004,110,육일리마을회관,233000136,36440.0,육일리마을회관,233000136.0,37.2072833,126.7249833,경기도 화성시,4120445.0
6876,88224,233000004,1004,111,육일리교차로,233001483,37556.0,육일리교차로,233001483.0,37.2037,126.72428329999998,경기도 화성시,4170934.0
6877,88225,233000004,1004,112,육일2리.코스코밸리,233000860,37069.0,육일2리.코스코밸리,233000860.0,37.2001667,126.7228833,경기도 화성시,4102863.0
6878,88226,233000004,1004,113,상안리.한국발효,233000758,37471.0,상안리.한국발효,233000758.0,37.19305,126.7166,경기도 화성시,4170812.0
6879,88227,233000004,1004,114,신흥사,233000861,37061.0,신흥사,233000861.0,37.18991670000001,126.7135,경기도 화성시,4102861.0
6880,88228,233000004,1004,115,상안1.2리,233000756,37048.0,상안1.2리,233000756.0,37.1825667,126.7064667,경기도 화성시,4102857.0
6881,88229,233000004,1004,116,상안2리.SK주유소,233000862,37054.0,상안2리.SK주유소,233000862.0,37.1795833,126.70815,경기도 화성시,4102855.0
6882,88230,233000004,1004,117,서신,233000863,37043.0,서신,233000863.0,37.1694333,126.70508329999998,경기도 화성시,4107883.0
6883,88231,233000004,1004,118,매화리,233000324,37041.0,매화리,233000324.0,37.1687,126.7036333,경기도 화성시,4102851.0
6885,88233,233000004,1004,120,목성머리,233000755,37578.0,목성머리,233000755.0,37.1731167,126.6972,경기도 화성시,4170990.0
6886,88234,233000004,1004,121,광평리,233000864,37031.0,광평리,233000864.0,37.1729833,126.69441670000002,경기도 화성시,4102848.0
6887,88235,233000004,1004,122,느티나무앞,233001888,37927.0,느티나무앞,233001888.0,37.1743667,126.6914,경기도 화성시,4199954.0
6888,88236,233000004,1004,123,광평삼거리,233000754,37564.0,광평삼거리,233000754.0,37.1748167,126.6889167,경기도 화성시,4170947.0
6889,88237,233000004,1004,124,숲풀안앞,233001876,37783.0,숲풀안앞,233001876.0,37.1742833,126.6856,경기도 화성시,4196020.0
6890,88238,233000004,1004,125,장외리,233000865,37020.0,장외리,233000865.0,37.17425,126.6807,경기도 화성시,4102846.0
6891,88239,233000004,1004,126,장외리.지긋말,233000866,37016.0,장외리.지긋말,233000866.0,37.1684,126.6783167,경기도 화성시,4102845.0
6892,88240,233000004,1004,127,큰말입구,233000867,37015.0,큰말입구,233000867.0,37.1661167,126.67508329999998,경기도 화성시,4102843.0
6893,88241,233000004,1004,128,송교1리,233000868,37012.0,송교1리,233000868.0,37.1636,126.6689,경기도 화성시,4102840.0
6894,88242,233000004,1004,129,살고지입구,233001299,36947.0,살고지입구,233001299.0,37.1629167,126.66651670000002,경기도 화성시,4170654.0
6895,88243,233000004,1004,130,개경촌,233000871,37007.0,개경촌,233000871.0,37.1648,126.66433329999998,경기도 화성시,4102837.0
6896,88244,233000004,1004,131,제부해수탕,233000753,36763.0,제부해수탕,233000753.0,37.1671833,126.659,경기도 화성시,4170274.0
6897,88245,233000004,1004,132,제부도입구,233000872,37001.0,제부도입구,233000872.0,37.1721167,126.6585333,경기도 화성시,4102835.0
6898,88246,233000004,1004,133,제부도입구,233001904,55349.0,제부도입구,233001904.0,37.17255,126.65921670000002,경기도 화성시,4122097.0
6899,88247,233000004,1004,134,돈말입구,233001930,55351.0,돈말입구,233001930.0,37.1748833,126.66385,경기도 화성시,4121948.0
6900,88248,233000004,1004,135,장외리.오리골,233001871,55348.0,장외리.오리골,233001871.0,37.177,126.66648329999998,경기도 화성시,4121949.0
6901,88249,233000005,330,1,장외리.오리골,233001903,37929.0,장외리.오리골,233001903.0,37.1769333,126.6663167,경기도 화성시,4102832.0
6902,88250,233000005,330,2,돈말입구,233001928,55350.0,돈말입구,233001928.0,37.1749833,126.66375,경기도 화성시,4122098.0
6903,88251,233000005,330,3,제부도입구,233001850,55347.0,제부도입구,233001850.0,37.1727833,126.65971670000002,경기도 화성시,4122096.0
6904,88252,233000005,330,4,제부도입구,233001293,37002.0,제부도입구,233001293.0,37.1722167,126.65838329999998,경기도 화성시,4102834.0
6905,88253,233000005,330,5,제부해수탕,233001872,37925.0,제부해수탕,233001872.0,37.1669333,126.65923329999998,경기도 화성시,4170949.0
6906,88254,233000005,330,6,개경촌,233000749,37006.0,개경촌,233000749.0,37.1647167,126.66428329999998,경기도 화성시,4102836.0
6907,88255,233000005,330,7,살고지입구,233001294,37008.0,살고지입구,233001294.0,37.1626,126.6671,경기도 화성시,4102838.0
6908,88256,233000005,330,8,송교1리,233000748,37013.0,송교1리,233000748.0,37.1635,126.6689167,경기도 화성시,4102841.0
