"운수사","사업자ID","노선ID","노선번호","순번","정류소ID","정류소번호","정류소명","구간거리","위도","경도","TM_X","TM_Y"
"(화성)금오운수","4132400","41324001","17","47","4170347","37739","신창미션힐","267","37.20351667","127.04195","203656.222979864","411296.406618767"
"(화성)금오운수","4132400","41324001","17","48","4100048","36350","신창미션힐.송화초교","481","37.20378333","127.0382167","203325.697179955","411326.356423589"
"(화성)금오운수","4132400","41324001","17","49","4151651","36345","병점역사거리","654","37.20695","127.0356167","203094.688937081","411677.665058043"
"(화성)금오운수","4132400","41324002","27","0","4151651","36345","병점역사거리","0","37.20695","127.0356167","203094.688937081","411677.665058043"
"(화성)금오운수","4132400","41324002","27","1","4100048","36350","신창미션힐.송화초교","790","37.20378333","127.0382167","203325.697179955","411326.356423589"
"(화성)금오운수","4132400","41324002","27","2","4100051","36342","동부출장소.병점초등학교","655","37.20878333","127.0344333","202989.386629136","411882.158908654"
"(화성)금오운수","4132400","41324002","27","3","4108007","36347","병점화남아파트","643","37.21196667","127.03755","203266.260057657","412235.555624954"
"(화성)금오운수","4132400","41324002","27","4","4130128","36355","진안동","317","37.21336667","127.04065","203540.943438835","412389.232385452"
"(화성)금오운수","4132400","41324002","27","5","4120750","55291","롯데시네마","205","37.21425","127.0426333","203717.424704524","412487.388540461"
"(화성)금오운수","4132400","41324002","27","6","4170341",,"중심상가","245","37.21486667","127.0446","203890.853175429","412556.56976012"
"(화성)금오운수","4132400","41324002","27","7","4108015","36373","안화초교.주공8.9단지","219","37.2132","127.0459","204006.337569631","412371.393891187"
"(화성)금오운수","4132400","41324002","27","8","4116268","55280","안화고등학교","220","37.2115","127.0472","204121.835354024","412183.747137976"
"(화성)금오운수","4132400","41324002","27","9","4170966","37591","정든공원","237","37.2097","127.0485833","204245.472075693","411983.118336869"
"(화성)금오운수","4132400","41324002","27","10","4170266","37727","신미주아파트","111","37.20893333","127.0494667","204324.149834344","411897.603514333"
"(화성)금오운수","4132400","41324002","27","11","4170267","37726","모아미래도아파트","163","37.20866667","127.0512833","204485.481952589","411869.062656718"
"(화성)금오운수","4132400","41324002","27","12","4199454","37863","자연앤데시앙","320","37.20806667","127.05475","204792.844912848","411802.50581004"
"(화성)금오운수","4132400","41324002","27","13","4197609","55100","한마음초교.광명메이루즈","195","37.2075","127.0568","204975.077887735","411739.863672718"
"(화성)금오운수","4132400","41324002","27","14","4199438","37789","모아미래도아파트","175","37.20691667","127.0586167","205136.36383931","411675.383091903"
"(화성)금오운수","4132400","41324002","27","15","4101605","37952","숲속자연앤","200","37.2072","127.0603833","205292.619236331","411706.910487715"
"(화성)금오운수","4132400","41324002","27","16","4170978","55147","능동은행사거리","295","37.2089","127.0618167","205420.85048873","411895.384941392"
"(화성)금오운수","4132400","41324002","27","17","4170272","37742","센트럴파크","229","37.20773333","127.0638333","205598.662336032","411765.114316081"
"(화성)금오운수","4132400","41324002","27","18","4170273","37741","금호어울림","267","37.20655","127.0664833","205835.161688927","411634.659584868"
"(화성)금오운수","4132400","41324002","27","19","4170246","37733","메타폴리스","401","37.20536667","127.0707333","206212.408989542","411503.321789873"
"(화성)금오운수","4132400","41324002","27","20","4170243","37694","동탄1동행정복지센터","255","37.20665","127.0725667","206374.160830779","411647.150915807"
"(화성)금오운수","4132400","41324002","27","21","4170245","37695","신일유토빌정문","359","37.20915","127.07505","206594.243532693","411924.299489969"
"(화성)금오운수","4132400","41324002","27","22","4170625","37711","예당예원초","283","37.21056667","127.0776667","206827.493310596","412081.49243073"
"(화성)금오운수","4132400","41324002","27","23","4170570","37712","전하리교회.우미제일","422","37.21315","127.0792833","206970.927579778","412368.180058221"
"(화성)금오운수","4132400","41324002","27","24","4123798","55619","동탄제일병원","450","37.21678333","127.0784","206891.428342693","412771.046127743"
"(화성)금오운수","4132400","41324002","27","25","4197589",,"한림대성심병원","252","37.2173","127.0806333","207089.449834313","412829.504471094"
"(화성)금오운수","4132400","41324002","27","26","4199456","37879","이마트.한림대병원","342","37.21531667","127.0791333","206956.868839068","412607.725345931"
"(화성)금오운수","4132400","41324002","27","27","4130121","37760","우미제일.전하리교회","369","37.21213333","127.0793833","206979.377944033","412254.756473428"
"(화성)금오운수","4132400","41324002","27","28","4120435","37758","예당예원초","312","37.2107","127.0775833","206819.214308511","412095.934689922"
"(화성)금오운수","4132400","41324002","27","29","4120436","37798","롯데케슬정문","284","37.20926667","127.0749167","206582.375548217","411937.677945196"
"(화성)금오운수","4132400","41324002","27","30","4100050","37749","동탄1동행정복지센터","351","37.20685","127.07235","206355.925028887","411669.159642228"
"(화성)금오운수","4132400","41324002","27","31","4108021","37747","현대아이파크","287","37.20573333","127.0706167","206201.63486173","411543.617027889"
"(화성)금오운수","4132400","41324002","27","32","4170400","37737","한화꿈에그린아파트","385","37.20681667","127.06655","205841.154007968","411664.973669428"
"(화성)금오운수","4132400","41324002","27","33","4170407","37703","센트럴파크","278","37.20803333","127.0639333","205605.759911958","411798.22728365"
"(화성)금오운수","4132400","41324002","27","34","4170336","37943","자연앤아너스빌","356","37.20856667","127.0608","205329.759879248","411859.06482556"
"(화성)금오운수","4132400","41324002","27","35","4101578","37951","숲속자연앤","173","37.20715","127.0600333","205262.332602047","411700.326436783"
"(화성)금오운수","4132400","41324002","27","36","4170253","37732","모아미래도아파트","181","37.20708333","127.0587","205143.434883776","411693.732004757"
"(화성)금오운수","4132400","41324002","27","37","4170406","37734","한마음초교.광명메이루즈","160","37.20758333","127.05705","204996.764887097","411749.587736037"
"(화성)금오운수","4132400","41324002","27","38","4170290","37740","자연앤아너스빌.한마음초교","216","37.20825","127.0547333","204791.447149584","411822.229802754"
"(화성)금오운수","4132400","41324002","27","39","4198444","55144","모아미래도아파트","273","37.20871667","127.0518","204530.446652192","411875.194206664"
"(화성)금오운수","4132400","41324002","27","40","4170520","37705","신미주아파트","151","37.20895","127.0501","204380.62426376","411900.104332066"
"(화성)금오운수","4132400","41324002","27","41","4115398","55269","정든공원.숲속풍성신미주","161","37.20978333","127.0487833","204262.513582051","411992.685498334"
"(화성)금오운수","4132400","41324002","27","42","4116267","55281","안화고등학교","215","37.21143333","127.0475167","204150.099434843","412176.255408935"
"(화성)금오운수","4132400","41324002","27","43","4108016","36372","안화초교.주공8.9단지","247","37.2133","127.0460833","204022.553611044","412383.299339313"
"(화성)금오운수","4132400","41324002","27","44","4170338","36795","중심상가","324","37.21515","127.04375","203816.717817107","412588.074630863"
"(화성)금오운수","4132400","41324002","27","45","4119331","55279","롯데시네마","138","37.21448333","127.04245","203700.507044168","412513.438743133"
"(화성)금오운수","4132400","41324002","27","46","4130129","36354","진안동","327","37.21301667","127.0393","203420.603373172","412351.155079458"
"(화성)금오운수","4132400","41324002","27","47","4170271","36753","병점사거리","872","37.20838333","127.0344333","202989.074635143","411837.64728282"
"(화성)금오운수","4132400","41324003","27-1","0","4170487","55034","병점역","0","37.20683333","127.0338333","202936.068169465","411663.991147264"
"(화성)금오운수","4132400","41324003","27-1","1","4119338","55397","화성보건소","304","37.20436667","127.0350833","203047.629386836","411391.369539004"
"(화성)금오운수","4132400","41324003","27-1","2","4170485","55037","홈플러스","159","37.20305","127.0358667","203117.018960139","411245.608087402"
"(화성)금오운수","4132400","41324003","27-1","3","4100048","36350","신창미션힐.송화초교","539","37.20378333","127.0382167","203325.697179955","411326.356423589"
"(화성)금오운수","4132400","41324003","27-1","4","4171020","37657","대창그린아파트","328","37.20561667","127.0388333","203380.586931233","411530.146083526"
"(화성)금오운수","4132400","41324003","27-1","5","4119336",,"주공1단지","151","37.20625","127.0403333","203512.830884855","411600.619077625"
"(화성)금오운수","4132400","41324003","27-1","6","4108012","36369","주공4단지","425","37.20816667","127.0445","203882.340778299","411813.28177492"
"(화성)금오운수","4132400","41324003","27-1","7","4108013","36376","신창2차아파트","326","37.20968333","127.0475833","204156.04294112","411981.740985896"
"(화성)금오운수","4132400","41324003","27-1","8","4170966","37591","정든공원","143","37.2097","127.0485833","204245.472075693","411983.118336869"
"(화성)금오운수","4132400","41324003","27-1","9","4170266","37727","신미주아파트","111","37.20893333","127.0494667","204324.149834344","411897.603514333"
"(화성)금오운수","4132400","41324003","27-1","10","4170267","37726","모아미래도아파트","163","37.20866667","127.0512833","204485.481952589","411869.062656718"
"(화성)금오운수","4132400","41324003","27-1","11","4170985","55146","한마음초사거리","221","37.20913333","127.0531","204646.756910702","411920.680896685"
"(화성)금오운수","4132400","41324003","27-1","12","4122155",,"능동지성로사거리","403","37.2125","127.0548","204796.737968247","412294.554850887"
"(화성)금오운수","4132400","41324003","27-1","13","4199367","37804","능동초등학교","360","37.21291667","127.0574","205027.815546788","412341.614390849"
"(화성)금오운수","4132400","41324003","27-1","14","4199365","37802","능동중학교","364","37.21118333","127.0597167","205233.292201958","412148.685506633"
"(화성)금오운수","4132400","41324003","27-1","15","4170256","37730","미즈파크병원","240","37.20945","127.0602333","205279.195085279","411956.899440202"
"(화성)금오운수","4132400","41324003","27-1","16","4170978","55147","능동은행사거리","156","37.2089","127.0618167","205420.85048873","411895.384941392"
"(화성)금오운수","4132400","41324003","27-1","17","4170272","37742","센트럴파크","229","37.20773333","127.0638333","205598.662336032","411765.114316081"
"(화성)금오운수","4132400","41324003","27-1","18","4170273","37741","금호어울림","267","37.20655","127.0664833","205835.161688927","411634.659584868"
"(화성)금오운수","4132400","41324003","27-1","19","4170246","37733","메타폴리스","401","37.20536667","127.0707333","206212.408989542","411503.321789873"
"(화성)금오운수","4132400","41324003","27-1","20","4170243","37694","동탄1동행정복지센터","255","37.20665","127.0725667","206374.160830779","411647.150915807"
"(화성)금오운수","4132400","41324003","27-1","21","4199436","37853","동탄보건지소.우체국","508","37.2071","127.0765667","206729.250846473","411695.945629719"
"(화성)금오운수","4132400","41324003","27-1","22","4199437","37854","대우푸르지오.예당고등학교","270","37.2085","127.07895","206941.468330365","411851.806761768"
"(화성)금오운수","4132400","41324003","27-1","23","4120435","37758","예당예원초","652","37.2107","127.0775833","206819.214308511","412095.934689922"
"(화성)금오운수","4132400","41324003","27-1","24","4120436","37798","롯데케슬정문","284","37.20926667","127.0749167","206582.375548217","411937.677945196"
"(화성)금오운수","4132400","41324003","27-1","25","4100050","37749","동탄1동행정복지센터","351","37.20685","127.07235","206355.925028887","411669.159642228"
"(화성)금오운수","4132400","41324003","27-1","26","4108021","37747","현대아이파크","287","37.20573333","127.0706167","206201.63486173","411543.617027889"
"(화성)금오운수","4132400","41324003","27-1","27","4170400","37737","한화꿈에그린아파트","385","37.20681667","127.06655","205841.154007968","411664.973669428"
"(화성)금오운수","4132400","41324003","27-1","28","4170407","37703","센트럴파크","278","37.20803333","127.0639333","205605.759911958","411798.22728365"
"(화성)금오운수","4132400","41324003","27-1","29","4170404","37736","미즈파크병원","359","37.20965","127.0604833","205301.009130838","411978.292854117"
"(화성)금오운수","4132400","41324003","27-1","30","4199364","37801","능동중학교","256","37.21113333","127.0599333","205252.440048365","412143.65610524"
"(화성)금오운수","4132400","41324003","27-1","31","4199366","37803","능동초등학교","297","37.21278333","127.0581167","205090.794037964","412326.641756549"
"(화성)금오운수","4132400","41324003","27-1","32","4170821","55294","능동지성로사거리","393","37.21281667","127.0547333","204791.250293747","412330.031775222"
"(화성)금오운수","4132400","41324003","27-1","33","4198443","55145","한마음초사거리","435","37.2092","127.0528833","204627.499847782","411928.208657645"
"(화성)금오운수","4132400","41324003","27-1","34","4198444","55144","모아미래도아파트","177","37.20871667","127.0518","204530.446652192","411875.194206664"
"(화성)금오운수","4132400","41324003","27-1","35","4170520","37705","신미주아파트","151","37.20895","127.0501","204380.62426376","411900.104332066"
"(화성)금오운수","4132400","41324003","27-1","36","4115398","55269","정든공원.숲속풍성신미주","161","37.20978333","127.0487833","204262.513582051","411992.685498334"
"(화성)금오운수","4132400","41324003","27-1","37","4108014","37746","주공5단지","114","37.20998333","127.04775","204171.514607843","412014.969906471"
"(화성)금오운수","4132400","41324003","27-1","38","4170922","37710","주공4단지","333","37.20841667","127.0445667","203889.423119562","411840.154244003"
"(화성)금오운수","4132400","41324003","27-1","39","4108011","36366","우남퍼스트빌","171","37.20761667","127.0429333","203743.776017083","411751.271350678"
"(화성)금오운수","4132400","41324003","27-1","40","4119335",,"주공1단지","277","37.20636667","127.0402333","203504.384138975","411613.030622592"
"(화성)금오운수","4132400","41324003","27-1","41","4119337",,"대창그린아파트","161","37.20568333","127.0386333","203363.030432406","411537.527057376"
"(화성)금오운수","4132400","41324003","27-1","42","4170487","55034","병점역","737","37.20683333","127.0338333","202936.068169465","411663.991147264"
"(화성)금오운수","4132400","41324004","27-2","0","4151651","36345","병점역사거리","0","37.20695","127.0356167","203094.688937081","411677.665058043"
"(화성)금오운수","4132400","41324004","27-2","1","4100048","36350","신창미션힐.송화초교","790","37.20378333","127.0382167","203325.697179955","411326.356423589"
"(화성)금오운수","4132400","41324004","27-2","2","4100051","36342","동부출장소.병점초등학교","655","37.20878333","127.0344333","202989.386629136","411882.158908654"
"(화성)금오운수","4132400","41324004","27-2","3","4108007","36347","병점화남아파트","643","37.21196667","127.03755","203266.260057657","412235.555624954"
"(화성)금오운수","4132400","41324004","27-2","4","4130128","36355","진안동","317","37.21336667","127.04065","203540.943438835","412389.232385452"
"(화성)금오운수","4132400","41324004","27-2","5","4120750","55291","롯데시네마","205","37.21425","127.0426333","203717.424704524","412487.388540461"
"(화성)금오운수","4132400","41324004","27-2","6","4170341",,"중심상가","245","37.21486667","127.0446","203890.853175429","412556.56976012"
"(화성)금오운수","4132400","41324004","27-2","7","4108015","36373","안화초교.주공8.9단지","219","37.2132","127.0459","204006.337569631","412371.393891187"
"(화성)금오운수","4132400","41324004","27-2","8","4116268","55280","안화고등학교","220","37.2115","127.0472","204121.835354024","412183.747137976"
"(화성)금오운수","4132400","41324004","27-2","9","4170966","37591","정든공원","237","37.2097","127.0485833","204245.472075693","411983.118336869"
"(화성)금오운수","4132400","41324004","27-2","10","4170266","37727","신미주아파트","111","37.20893333","127.0494667","204324.149834344","411897.603514333"
"(화성)금오운수","4132400","41324004","27-2","11","4170267","37726","모아미래도아파트","163","37.20866667","127.0512833","204485.481952589","411869.062656718"
"(화성)금오운수","4132400","41324004","27-2","12","4199454","37863","자연앤데시앙","320","37.20806667","127.05475","204792.844912848","411802.50581004"
"(화성)금오운수","4132400","41324004","27-2","13","4197609","55100","한마음초교.광명메이루즈","195","37.2075","127.0568","204975.077887735","411739.863672718"
"(화성)금오운수","4132400","41324004","27-2","14","4199438","37789","모아미래도아파트","175","37.20691667","127.0586167","205136.36383931","411675.383091903"
