,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
175,향남부영10.11단지,향남부영11단지,향남모아8단지,롯데씨네마.향남부영7,하길중학교,향남주공5단지입구,하길초등학교,향남주공5단지,향남부영3단지,향남주공1.2단지,방축리,단독주택단지,신영지웰,화성소방서.향남홈플러스,향남읍행정복지센터,화성중앙병원.발안초등학교,발안사거리.평리,발안삼거리,화성종합경기타운사거리,향남홈플러스,대방노블랜드,행정리,백토리상공회의소,관리고개,관리입구,동오사거리,동오리종점,문학주유소,문학1리,문학리,정남행정복합센터,신라주유소앞,신리앞,정남초등학교,정남도서관,정남농협,정남파출소,왕재고개,빼골,괘랑2리.차운혁충신정려문,새터말,앞말,뱅뱅이,돌고지,한강CM,신한미지엔아파트앞,북촌말입구,송산동입구,동문아파트,진안5통.병점육교,병점역후문,유엔아이,한일타운아파트,화성벌말초등학교,효성헤링턴플레이스,병점역,병점역사거리,홈플러스.벌말초교,성호아파트,우남아파트,서동탄역신일해피트리(중),모아미래도.우림필유.평생학습관(중),풍성신미주아파트(중),다은마을(중),메타폴리스(중),한빛마을(중),예당마을.롯데캐슬(중),동탄이마트.한림대병원,예당고사거리,한미약품.푸르지오,상록.테크노밸리.GS자이,우남퍼스트빌,롯데캐슬.포스코더샵,동탄역(동측),포스코더샵.롯데캐슬,전하리교회.우미제일,한빛마을.석우중학교(중),풍성신미주(중),송화초교.양우내안애,신창미션힐.송화초교,화성보건소,홈플러스,안용중학교.현충탑,안녕동,효원납골공원,상록하늘채,향남환승터미널,KEB하나은행발안지점,발안초등학교,에일린의뜰,향남부영7.롯데씨네마,향남부영9단지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,조암터미널,조암리(경유),장안초등학교(경유),조암한라비발디,어은삼거리,수촌3리,해창2리.능인대학원대학교,해창1리.우리꽃식물원,제암리,주공아파트,발안삼거리.바다마트,발안초등학교,향남환승터미널,화성종합경기타운,점촌교차로(경유),가재교차로(경유),진우아파트,해병대사령부,가톨릭대학교,장안대학,봉담읍행정복지센터,동화리.동남아파트,천천IC(경유),덕리(경유),화성문화원.향남환승터미널,화성중앙병원.발안초등학교,발안마을주공아파트,장의리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,향남주공18단지,향남부영16단지,상신하길로주택,향남부영13단지,하길중학교,향남부영7.롯데씨네마,향남모아8단지,향남주공2단지,방축리,단독주택단지,신영지웰,화성소방서.향남홈플러스,향남환승터미널,화성종합경기타운,점촌교차로(경유),가재교차로(경유),진우아파트,해병대사령부,가톨릭대학교,왕람휴게소(경유),장안대학,봉담읍행정복지센터,동화리.동남아파트,천천IC(경유),덕리(경유),화성문화원.향남환승터미널,에일린의뜰,롯데씨네마.향남부영7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,장안대학,협성대학교정문,동화휴먼시아6단지,중심상가.화성고용센터,동화휴먼시아1단지.상봉초등학교,상봉초등학교,동문아파트.협성대학교.봉담중고교,봉담읍행정복지센터,동화리.동남아파트,천천IC(경유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,봉담IC교차로(경유),봉담읍행정복지센터,장안대학,왕림교차로(경유),해병대사령부,팔탄입구삼거리(경유),가재교차로(경유),점촌교차로(경유),바다마트,발안만세시장,화성시보건소앞,제약공단사원아파트앞,상신1리마을앞,상신6리,상신리,향남제약공단앞,제약공단후문.구문천1리입구,구문천리,하길4리입구,구문천리.돌래,요당3리,요당2리,향남제약공단입구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,봉담IC교차로(경유),봉담읍행정복지센터,장안대학,왕림교차로(경유),해병대사령부,팔탄입구삼거리(경유),가재교차로(경유),점촌교차로(경유),바다마트,발안만세시장,화성시보건소앞,제약공단사원아파트앞,상신1리마을앞,상신6리,상신리,향남제약공단앞,제약공단후문.구문천1리입구,구문천리,하길4리입구,구문천리.돌래,요당3리,요당2리,향남제약공단입구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,수원대학교,용건릉(경유),신한미지엔아파트앞,송산동입구,병점육교(경유),병점화남아파트,진안동,롯데시네마,안화초교.주공8.9단지,정든공원,모아미래도아파트,한마음초교.광명메이루즈,동탄고등학교,풍성신미주아파트(중),다은마을(중),메타폴리스(중),한빛마을(중),예당마을.롯데캐슬(중),기흥동탄TG(경유),한빛마을.석우중학교(중),풍성신미주(중),정든공원.숲속풍성신미주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,조암터미널,쌍용아파트,조암삼거리(경유),수영초등학교,장안여자중학교,수영오거리.신창아파트입구,사곡6리,수영오거리.방송통신대입구,사곡5리,국립축산과학원,사곡2리,노진4리,한국농수산대학,노진초등학교,신일우남아파트,노진2리(노인정),SK매직.우림그린빌리지,노진2리,평생플러스빌,노진5리,와우농협앞,노진3리,와우2리,노진리종점,수원대입구,임광1.2단지입구,노진5,봉담휴먼빌아파트,임광그대가3단지,효행초등학교,주공5단지,노진리,동화초.동화휴먼시아3단지,동화휴먼시아2단지,동화마을1단지.화성고용센터,동화휴먼시아1단지.상봉초등학교,상봉초등학교,동문아파트.협성대학교.봉담중고교,봉담호수공원.신협앞,봉담한신아파트,동일하이빌.상봉초등학교,하나로마트.화성고용센터,동화휴먼시아3.4단지.봉담우체국,효행초등학교정문,아이파크정문,신명아파트,수원대학교,신일해피트리1차,우림그린빌리지,광도와이드빌.우남그린빌,신창아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,수영초등학교,수영오거리.신창아파트입구,수영오거리.방송통신대입구,대진화학,동화리.동남아파트,봉담읍행정복지센터,봉담한신아파트,동문아파트.협성대학교.봉담중고교,상봉초등학교,동일하이빌.상봉초등학교,동일하이빌.화성고용센터,장지천,동화휴먼시아6단지,DM디스플레이,동화중학교.동화초등학교,산척리,주공5단지,효행초등학교,우미린.하우스디더레이크,효행초등학교정문,나래학교,아이파크정문,반도유보라,신명아파트,금강.센트럴힐즈,수원대입구,수원대학교,호반베르디움3차,호반3차.창의고,임광1.2단지입구,신리입구,봉담휴먼빌아파트,임광그대가3단지,동화초중교,베라체.목동초,중심상가.화성고용센터,동화휴먼시아1단지.상봉초등학교,봉담호수공원.신협앞,봉담119안전센터,센트럴힐즈.금강,신창아파트,반도3.금강,레이크빌.하우스디더레이크,하우스디더레이크.우미린,방교초.레이크자이더테라스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,수영오거리.방송통신대입구,봉담IC교차로(경유),동화리.동남아파트,봉담읍행정복지센터,장안대학,왕림교차로(경유),해병대사령부,팔탄입구삼거리(경유),가재교차로(경유),점촌교차로(경유),화성종합경기타운,화성문화원.향남환승터미널,향남읍행정복지센터,화성중앙병원.발안초등학교,발안사거리.평리,바다마트,발안만세시장,화성시보건소앞,제암리,한국폴리텍대학,매곡리,해창1리.우리꽃식물원,해창리,해창2리.능인대학원대학교,성문,수촌1리,수촌3리,장의리,금의1리,어은1리,어은1정미소앞,어은삼거리,조암한라비발디,조암터미널,조암리(경유),금의1리입구,KEB하나은행발안지점,발안초등학교,향남환승터미널,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
