정류소명,no
경기일보.한일타운,4074
수원산업단지,150
한국농수산대학,39
반도유보라.대우푸르지오,963
칠보입구,371
농촌진흥청,1339
가족여성회관.이춘택병원.수원농협,1419
신안아파트,887
동남보건대학,728
성균관대역.고용노동부경기지청.율전성당,3737
정자3동주민센터.정자동중심상가,2657
매교역5번출구.경기도박치료센터,464
홈플러스.벌말초교,6269
교육청사거리,568
연화장,59
태평양화학.삼성전자입구,1910
풍림아파트,2665
원희캐슬프라자,1161
교육청사거리,362
한일타운.경기일보.홈플러스,4533
선바위역,53
성균관대역,333
매탄삼성1차아파트,1785
호매실스위첸19단지.능실마을22단지,724
SK스카이뷰,410
수원역환승센터(9승강장),2067
광도와이드빌.우남그린빌,1256
오산시청.운암주공4단지,1247
GS아파트정문,371
송원중학교.수원서부교회,1613
이마트,2173
수원종합운동장.수원시체육회관,862
여월농업공원.여월휴먼시아4단지,17
한화.호반,354
만석공원.정자초교.벽산아파트,945
흥덕지구중심상업지구앞,859
한림대병원(중),2892
상록.테크노밸리.GS자이,414
나래학교.LH65블럭.하우스디더레이크,932
한일타운아파트,980
융건릉,220
경기도경제과학진흥원,1158
창룡문.연무대,363
평촌시립도서관,175
장안공원,1994
삼미.쌍용아파트,173
경기도보건환경연구원.파장시장.광교산입구,3371
광교호수마을.LH휴먼시아,789
아주대병원,1955
조원시장입구,845
세무서.도청입구.신용회복위원회,3190
블루밍푸른숲아파트,2712
나루마을상가,393
벌음동,15
죽미마을10단지,270
세류3동주민센터.버드내노인복지회관,1095
수원역환승센터(1승강장),2909
팔달구청.수원화성박물관,452
운암주공5단지.운암중학교,1542
안양역,883
부흥고등학교,185
동탄역(동측),1463
성호아파트,597
모란역6.7번출구,309
풍성신미주(중),392
의왕역,111
서동탄역,86
망포역1번출구,137
망포늘푸른벽산아파트후문,376
세류사거리,1789
예당고사거리,381
자유총연맹,149
2001아울렛,3830
장안구청,349
효성초등학교,692
이매촌한신.서현역.AK프라자,1473
세교13단지,246
수원북중학교,1522
향교.팔달보건소.중앙침례교회,1014
연무중학교.써밋플레이스광교,278
수원농협권선지점,730
수원센트럴타운3단지,555
삼성아파트,174
영통롯데아파트,2656
무궁화전자,376
광교카페거리.대림e편한세상,423
영통역7번출구.영덕고등학교,2118
뉴코아아울렛,2525
수원고교,208
세마대,489
롯데시네마,1019
외삼미동,145
안화초교.주공8.9단지,445
송산동입구,664
세교중심상가앞,1386
대림아파트,621
KT수원지사.국민연금북수원지사,2036
남수원초등학교,2288
금화마을입구,24
세류사거리,741
동부출장소.병점초등학교,6051
모아미래도아파트,151
화서시장.화서사거리병무청입구,2983
청명역1번출구.청명산,2017
참누리아파트.기산중학교,515
신미주아파트.주공6단지,465
주공11단지.우남퍼스트빌2차,1205
화남아파트,133
성지산업,902
수원여자대학교입구,1846
동탄2동주민센터,1213
능동마을입구,1425
수성중사거리,565
복합문화센터,2597
예당예원초,280
다은마을(중),1922
극동.풍림아파트,631
래미안영통마크원1단지,428
영통구청.상지문고,2154
법원사거리,4624
수영오거리.방송통신대입구,307
광교공원.경기대입구,852
신갈초등학교.신갈오거리,462
개나리공원,652
태장면고개,477
경기대후문,25
동천역,525
자연앤데시앙,207
오산역.오산터미널,3981
한국2차아파트.산남중학교,967
매탄위브하늘채,1869
세류현대아파트,1717
당수동인정아파트.한라아파트,400
훼미리타워,1864
반월2통,361
관악타운,240
세명프라자.하나은행,334
상대원시장,624
래미안영통마크원1단지,469
향교.팔달보건소.중앙침례교회,1170
경기도박물관.금화마을입구,20
정자역,793
우미제일.전하리교회,2087
두진아파트,279
권선초교,635
미영아파트,952
세류역,2171
비봉중고등학교,237
북양산업단지,8
백토리상공회의소,18
신구대학사거리,376
구서고.금상초교,533
용주사,71
동화휴먼시아1단지,12
서현역.AK프라자,2488
우남아파트,128
화서역.화서주공3단지,466
율현중학교,1298
우방아파트.한화아파트.SK아파트,572
성균관대역,2695
광교역사공원.광교카페거리,529
북양교차로,2
남양뉴타운,476
가재4리.해병대보급중대,46
매교다리,2794
늘푸른아파트.오산초등학교,47
